,userid,event_name,event_attributes,event_created_date,Subscription Premium Cancel,last date Subscription Premium Cancel,Membership YM,last date Subscription Premium,2 days had not passedSubscription Premium,last date Sign Up Success,2 days had not passedSign Up Success
155,04eb48638351418661f818b4003ac039,Subscription Premium,"{'Start Date': '2022-03-18', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-19 01:29:05,0,2022-04-16 20:50:39,0,2022-03-19 01:29:05,0,2022-03-19 01:20:34,0
168,051a5f8bce75a601be987980a09d4187,Subscription Premium,"{'Start Date': '2022-04-01', 'Renewal Date': '2022-05-02', 'Membership Type': 'Monthly'}",2022-04-01 19:19:29,1,2022-04-06 10:12:37,0,2022-04-01 19:19:29,0,2022-04-01 19:17:30,0
175,05630c0e889fe7371fc74d7ae01f491f,Subscription Premium,"{'Start Date': '2022-03-12', 'Renewal Date': '2022-04-13', 'Membership Type': 'Monthly'}",2022-03-12 23:49:53,1,2022-03-19 18:16:37,0,2022-03-12 23:49:53,0,2022-03-12 23:48:01,0
199,06a9a92ef0a123b93e3410d8a57d5b6c,Subscription Premium,"{'Start Date': '2022-03-24', 'Renewal Date': '2022-04-25', 'Membership Type': 'Monthly'}",2022-03-24 18:01:57,0,2022-04-16 20:50:39,0,2022-03-24 18:01:57,0,2022-03-24 17:55:40,0
204,06e3b977d1d42365af2b77e958cf72b5,Subscription Premium,"{'Start Date': '2022-03-26', 'Renewal Date': '2022-04-27', 'Membership Type': 'Monthly'}",2022-03-26 11:20:07,0,2022-04-16 20:50:39,0,2022-03-26 11:20:07,0,2022-03-26 11:18:11,0
209,078ae59f1ae79df514e846e5e51eca8b,Subscription Premium,"{'Start Date': '2022-03-08', 'Renewal Date': '2022-04-09', 'Membership Type': 'Monthly'}",2022-03-08 19:10:02,1,2022-04-09 13:56:16,0,2022-03-08 19:10:02,0,2022-03-08 18:57:36,0
251,07a0d0ab07446da83579be3462bf081e,Subscription Premium,"{'Start Date': '2022-01-18', 'Renewal Date': '2022-02-19', 'Membership Type': 'Monthly'}",2022-01-18 09:52:19,0,2022-04-16 20:50:39,0,2022-01-18 09:52:19,0,2022-01-18 08:30:14,0
391,07e51f5e3fdde72e8e84978ac7179c16,Subscription Premium,"{'Start Date': '2022-04-14', 'Renewal Date': '2022-05-15', 'Membership Type': 'Monthly'}",2022-04-14 21:46:47,0,2022-04-16 20:50:39,0,2022-04-14 21:46:47,0,2022-04-14 21:43:26,0
405,07ed5d52c02f7f9a2284b1483dc07bd6,Subscription Premium,"{'Start Date': '2022-03-01', 'Renewal Date': '2022-04-02', 'Membership Type': 'Monthly'}",2022-03-01 18:27:06,0,2022-04-16 20:50:39,0,2022-03-01 18:27:06,0,2022-04-16 20:50:39,1
424,0863b355ac677a9b85ce5984bf876dc5,Subscription Premium,"{'Start Date': '2022-03-27', 'Renewal Date': '2022-04-28', 'Membership Type': 'Monthly'}",2022-03-27 19:22:27,0,2022-04-16 20:50:39,0,2022-03-27 19:22:27,0,2022-03-27 19:17:23,0
437,0871c09afb84920b8bfd27b3c328c86a,Subscription Premium,"{'Start Date': '2022-02-18', 'Renewal Date': '2022-03-19', 'Membership Type': 'Monthly'}",2022-02-18 17:59:22,1,2022-02-18 19:05:41,0,2022-02-18 17:59:22,1,2022-02-18 17:50:21,1
497,09aa83bbba4d22264215696aa1b169ac,Subscription Premium,"{'Start Date': '2022-03-06', 'Renewal Date': '2022-04-07', 'Membership Type': 'Monthly'}",2022-03-07 00:28:07,0,2022-04-16 20:50:39,0,2022-03-07 00:28:07,0,2022-03-06 23:49:28,0
504,0a4bf9a1acba481b13330ebae980efc7,Subscription Premium,"{'Start Date': '2022-02-19', 'Renewal Date': '2022-03-20', 'Membership Type': 'Monthly'}",2022-02-19 21:25:46,1,2022-02-24 12:59:50,0,2022-02-19 21:25:46,0,2022-02-19 21:23:08,0
514,0ac4c049747e23d5627e64345bc1ece7,Subscription Premium,"{'Start Date': '2022-02-08', 'Renewal Date': '2022-03-09', 'Membership Type': 'Monthly'}",2022-02-08 14:49:44,0,2022-04-16 20:50:39,0,2022-02-08 14:49:44,0,2022-02-08 14:46:59,0
569,0af7f97bf9253358db674384908d7bf4,Subscription Premium,"{'Start Date': '2022-03-06', 'Renewal Date': '2022-04-07', 'Membership Type': 'Monthly'}",2022-03-07 01:45:13,0,2022-04-16 20:50:39,0,2022-03-07 01:45:13,0,2022-03-07 01:37:59,0
582,0b312cbd78e36c4c19c5ba1ecd80ff13,Subscription Premium,"{'Start Date': '2022-03-21', 'Renewal Date': '2022-04-22', 'Membership Type': 'Monthly'}",2022-03-21 23:17:25,0,2022-04-16 20:50:39,0,2022-03-21 23:17:25,0,2022-03-21 23:12:09,0
719,0b55c6c8ce2743c5581ad07681cc812b,Subscription Premium,"{'Start Date': '2022-02-13', 'Renewal Date': '2022-03-14', 'Membership Type': 'Monthly'}",2022-02-13 19:54:02,0,2022-04-16 20:50:39,0,2022-02-13 19:54:02,0,2022-02-13 19:49:07,0
740,0b9ab37757f4ca5274110490af02c496,Subscription Premium,"{'Start Date': '2022-03-16', 'Renewal Date': '2022-04-17', 'Membership Type': 'Monthly'}",2022-03-16 17:55:28,0,2022-04-16 20:50:39,0,2022-03-16 17:55:28,0,2022-03-01 05:40:17,0
764,0bd397383b7b3070af45cb75d9e44c30,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-24 20:35:28,1,2022-02-24 20:45:38,0,2022-02-24 20:35:28,1,2022-02-24 20:32:32,1
777,0be441fb8acf6a9dd45d4d2444e62deb,Subscription Premium,"{'Start Date': '2022-02-17', 'Renewal Date': '2022-03-18', 'Membership Type': 'Monthly'}",2022-02-17 18:06:37,0,2022-04-16 20:50:39,0,2022-02-17 18:06:37,0,2022-02-17 17:04:44,0
798,0c7170de11fabf2a805736938841cc8c,Subscription Premium,"{'Start Date': '2022-03-11', 'Renewal Date': '2022-04-12', 'Membership Type': 'Monthly'}",2022-03-11 13:51:01,1,2022-04-13 10:22:58,0,2022-03-11 13:51:01,0,2022-03-11 13:44:23,0
820,0d0735f580cbe12a394d2e700104b7df,Subscription Premium,"{'Start Date': '2022-03-09', 'Renewal Date': '2022-04-10', 'Membership Type': 'Monthly'}",2022-03-10 07:08:34,1,2022-03-10 23:48:36,0,2022-03-10 07:08:34,1,2022-03-10 07:02:07,1
833,0d34c7bc13e61f2d73375a42dd5fd3fe,Subscription Premium,"{'Start Date': '2022-02-21', 'Renewal Date': '2022-03-22', 'Membership Type': 'Monthly'}",2022-02-22 00:58:20,0,2022-04-16 20:50:39,0,2022-02-22 00:58:20,0,2022-02-22 00:47:10,0
848,0d42e37276db6718fe60c57282fffa95,Subscription Premium,"{'Start Date': '2022-02-09', 'Renewal Date': '2022-03-10', 'Membership Type': 'Monthly'}",2022-02-09 23:40:01,1,2022-03-05 22:00:24,0,2022-02-09 23:40:01,0,2022-02-09 23:19:21,0
904,0e440655eed83610e0076ad7faa3a3f0,Subscription Premium,"{'Start Date': '2022-01-18', 'Renewal Date': '2022-02-19', 'Membership Type': 'Monthly'}",2022-01-19 01:38:57,0,2022-04-16 20:50:39,0,2022-01-19 01:38:57,0,2022-01-19 01:28:20,0
927,0e5eda1a13792e7fc5ee23edb8348c46,Subscription Premium,"{'Start Date': '2022-03-08', 'Renewal Date': '2022-04-09', 'Membership Type': 'Monthly'}",2022-03-09 05:47:22,0,2022-04-16 20:50:39,0,2022-03-09 05:47:22,0,2022-03-09 05:25:37,0
997,0e98d69eca88d59c29dadae04730f7d5,Subscription Premium,"{'Start Date': '2022-03-19', 'Renewal Date': '2022-04-20', 'Membership Type': 'Monthly'}",2022-03-19 21:32:00,1,2022-04-11 10:07:16,0,2022-03-19 21:32:00,0,2022-03-19 21:28:29,0
1019,0f6ec4ebb8659088613c41f9d90e11fd,Subscription Premium,"{'Start Date': '2022-04-10', 'Renewal Date': '2022-05-11', 'Membership Type': 'Monthly'}",2022-04-10 15:15:52,0,2022-04-16 20:50:39,0,2022-04-10 15:15:52,0,2022-04-10 15:10:07,0
1042,0fc0cec5a0e21c62feb9a7c5217c36d8,Subscription Premium,"{'Start Date': '2022-01-29', 'Renewal Date': '2022-03-01', 'Membership Type': 'Monthly'}",2022-01-29 21:07:31,1,2022-02-28 14:43:31,0,2022-01-29 21:07:31,0,2022-01-29 21:01:50,0
1074,0fe08d5c5027a9c435b0a98839b826ce,Subscription Premium,"{'Start Date': '2022-01-20', 'Renewal Date': '2022-02-21', 'Membership Type': 'Monthly'}",2022-01-21 03:06:35,0,2022-04-16 20:50:39,0,2022-01-21 03:06:35,0,2022-01-21 03:00:50,0
1083,1071d47f43bb66419b9a7365becef941,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-24 20:12:22,0,2022-04-16 20:50:39,0,2022-02-24 20:12:22,0,2022-02-24 20:07:08,0
1123,107eea821b823c2218cc2f44fa7746d9,Subscription Premium,"{'Start Date': '2022-02-27', 'Renewal Date': '2022-03-28', 'Membership Type': 'Monthly'}",2022-02-27 21:46:31,1,2022-04-01 08:18:29,0,2022-02-27 21:46:31,0,2022-02-09 05:18:31,0
1141,108f272091d484c9ef8d55cafc32abf9,Subscription Premium,"{'Start Date': '2022-03-11', 'Renewal Date': '2022-04-12', 'Membership Type': 'Monthly'}",2022-03-11 11:19:17,0,2022-04-16 20:50:39,0,2022-03-11 11:19:17,0,2022-03-10 16:14:02,0
1213,110cf2b07dea0f6ea3253cb621bd98db,Subscription Premium,"{'Start Date': '2022-03-01', 'Renewal Date': '2022-04-02', 'Membership Type': 'Monthly'}",2022-03-02 03:27:33,1,2022-03-29 13:08:23,0,2022-03-02 03:27:33,0,2022-02-08 20:26:50,0
1236,1153f4b1fafdb1470a5bec25d4aa004a,Subscription Premium,"{'Start Date': '2022-02-02', 'Renewal Date': '2022-03-03', 'Membership Type': 'Monthly'}",2022-02-02 22:57:12,0,2022-04-16 20:50:39,0,2022-02-02 22:57:12,0,2022-02-02 22:52:42,0
1242,117e6684e0f88d6da5afb944c5a657a3,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-25 02:52:00,1,2022-03-17 10:02:01,0,2022-02-25 02:52:00,0,2022-02-25 02:47:27,0
1258,118947eb7fc12d6d81c429c6762cb403,Subscription Premium,"{'Start Date': '2022-03-28', 'Renewal Date': '2022-04-29', 'Membership Type': 'Monthly'}",2022-03-28 16:21:56,0,2022-04-16 20:50:39,0,2022-03-28 16:21:56,0,2022-04-16 20:50:39,1
1265,11b9f94b9c956fa7197e02323663a454,Subscription Premium,"{'Start Date': '2022-04-04', 'Renewal Date': '2022-05-05', 'Membership Type': 'Monthly'}",2022-04-04 14:08:04,1,2022-04-12 16:21:36,0,2022-04-04 14:08:04,0,2022-04-04 13:41:47,0
1277,12746b8d8cd1a53826ca718d8e3f0e2d,Subscription Premium,"{'Start Date': '2022-01-21', 'Renewal Date': '2022-02-22', 'Membership Type': 'Monthly'}",2022-01-21 12:59:26,0,2022-04-16 20:50:39,0,2022-01-21 12:59:26,0,2022-01-21 12:53:12,0
1291,12b0be2eac6e706da1a81c476447c4d7,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-24 22:50:31,1,2022-03-19 19:12:56,0,2022-02-24 22:50:31,0,2022-02-24 22:28:37,0
1343,12d1151fd9a265b2bf006ac1dea65573,Subscription Premium,"{'Start Date': '2022-02-26', 'Renewal Date': '2022-03-27', 'Membership Type': 'Monthly'}",2022-02-26 17:59:01,0,2022-04-16 20:50:39,0,2022-02-26 17:59:01,0,2022-02-26 17:55:45,0
1345,12f4306c553c65f10b0234667cf9f174,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-25 00:48:18,0,2022-04-16 20:50:39,0,2022-02-25 00:48:18,0,2022-04-16 20:50:39,1
1352,133244e670189dcb7016803b07df4089,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-25 03:31:20,0,2022-04-16 20:50:39,0,2022-02-25 03:31:20,0,2022-02-25 03:26:10,0
1395,13d8a03074dd4502c5acb82fc65e2b33,Subscription Premium,"{'Start Date': '2022-02-23', 'Renewal Date': '2022-03-24', 'Membership Type': 'Monthly'}",2022-02-23 17:51:09,1,2022-02-23 18:02:09,0,2022-02-23 17:51:09,1,2022-02-23 17:47:39,1
1409,146966622eb7ca05e67c132570b6c34a,Subscription Premium,"{'Start Date': '2022-02-15', 'Renewal Date': '2022-03-16', 'Membership Type': 'Monthly'}",2022-02-15 17:07:50,0,2022-04-16 20:50:39,0,2022-02-15 17:07:50,0,2022-02-15 17:03:47,0
1416,1498cb3e57f7ae6deaefce9cffc76c9b,Subscription Premium,"{'Start Date': '2022-03-03', 'Renewal Date': '2022-04-04', 'Membership Type': 'Monthly'}",2022-03-04 01:05:36,0,2022-04-16 20:50:39,0,2022-03-04 01:05:36,0,2022-03-04 01:01:27,0
1447,15307da1b3803640d7efd77778dc2b3d,Subscription Premium,"{'Start Date': '2022-03-14', 'Renewal Date': '2022-04-15', 'Membership Type': 'Monthly'}",2022-03-14 21:39:47,0,2022-04-16 20:50:39,0,2022-03-14 21:39:47,0,2022-03-14 01:49:25,0
1452,15358728efaecefc1930b7ca9877f4ee,Subscription Premium,"{'Start Date': '2022-03-24', 'Renewal Date': '2022-04-25', 'Membership Type': 'Monthly'}",2022-03-24 19:56:11,0,2022-04-16 20:50:39,0,2022-03-24 19:56:11,0,2022-03-24 19:50:55,0
1505,1689b71af323dea3daeb1e1ca243a3fb,Subscription Premium,"{'Start Date': '2022-02-04', 'Renewal Date': '2022-03-05', 'Membership Type': 'Monthly'}",2022-02-04 19:01:30,0,2022-04-16 20:50:39,0,2022-02-04 19:01:30,0,2022-02-04 18:40:23,0
1513,173c9c2173fdf64c965a0fb0bb4606aa,Subscription Premium,"{'Start Date': '2022-03-11', 'Renewal Date': '2022-04-12', 'Membership Type': 'Monthly'}",2022-03-12 03:58:38,0,2022-04-16 20:50:39,0,2022-03-12 03:58:38,0,2022-03-12 03:57:04,0
1539,186c48b6d6b3494736436240f4283f50,Subscription Premium,"{'Start Date': '2022-03-02', 'Renewal Date': '2022-04-03', 'Membership Type': 'Monthly'}",2022-03-03 00:52:37,1,2022-04-02 11:27:07,0,2022-03-03 00:52:37,0,2022-03-03 00:48:36,0
1565,189adece0dd21eb905f1bfcc09298ecd,Subscription Premium,"{'Start Date': '2022-03-17', 'Renewal Date': '2022-04-18', 'Membership Type': 'Monthly'}",2022-03-17 15:11:04,0,2022-04-16 20:50:39,0,2022-03-17 15:11:04,0,2022-03-17 15:07:43,0
1592,18b9953f2328fed7482dda3deb45dcf5,Subscription Premium,"{'Start Date': '2022-01-22', 'Renewal Date': '2022-02-23', 'Membership Type': 'Monthly'}",2022-01-23 05:22:33,1,2022-03-06 22:20:18,0,2022-01-23 05:22:33,0,2022-01-22 00:35:33,0
1623,18d873e99c73abab540d7e9f5bd625a8,Subscription Premium,"{'Start Date': '2022-04-10', 'Renewal Date': '2022-05-11', 'Membership Type': 'Monthly'}",2022-04-10 15:00:12,0,2022-04-16 20:50:39,0,2022-04-10 15:00:12,0,2022-04-10 14:53:58,0
1628,19115f8d861df98e0f4a385403ec7297,Subscription Premium,"{'Start Date': '2022-03-06', 'Renewal Date': '2022-04-07', 'Membership Type': 'Monthly'}",2022-03-07 00:42:50,0,2022-04-16 20:50:39,0,2022-03-07 00:42:50,0,2022-03-06 19:24:06,0
1640,1911b1cdfee95bff6469a54c2cfe23f2,Subscription Premium,"{'Start Date': '2022-04-07', 'Renewal Date': '2022-05-08', 'Membership Type': 'Monthly'}",2022-04-08 00:29:36,0,2022-04-16 20:50:39,0,2022-04-08 00:29:36,0,2022-03-20 16:26:13,0
1656,19908769e65492bdc3910e01635bbc22,Subscription Premium,"{'Start Date': '2022-04-02', 'Renewal Date': '2022-05-03', 'Membership Type': 'Monthly'}",2022-04-03 00:22:31,0,2022-04-16 20:50:39,0,2022-04-03 00:22:31,0,2022-04-03 00:11:44,0
1664,1a2aff341204da8904fd42b6992b51a1,Subscription Premium,"{'Start Date': '2022-02-17', 'Renewal Date': '2022-03-18', 'Membership Type': 'Monthly'}",2022-02-17 18:35:28,0,2022-04-16 20:50:39,0,2022-02-17 18:35:28,0,2022-02-17 18:28:06,0
1683,1a406c1aa3f65a74a1a94dfa41e2ce51,Subscription Premium,"{'Start Date': '2022-02-02', 'Renewal Date': '2022-03-03', 'Membership Type': 'Monthly'}",2022-02-03 07:19:40,1,2022-02-03 09:11:54,0,2022-02-03 07:19:40,1,2022-02-03 07:16:34,1
1710,1aa7ad009d51094dcd8d4c72eff478c3,Subscription Premium,"{'Start Date': '2022-04-15', 'Renewal Date': '2022-05-16', 'Membership Type': 'Monthly'}",2022-04-15 15:57:48,0,2022-04-16 20:50:39,0,2022-04-15 15:57:48,1,2022-04-15 15:43:43,1
1722,1ac5f312f47342d26c2379dcf6cea214,Subscription Premium,"{'Start Date': '2022-02-20', 'Renewal Date': '2022-03-21', 'Membership Type': 'Monthly'}",2022-02-20 23:36:45,0,2022-04-16 20:50:39,0,2022-02-20 23:36:45,0,2022-02-20 23:34:47,0
1730,1ae2a46b39436dc9e1f0139bcaa11a93,Subscription Premium,"{'Start Date': '2022-02-03', 'Renewal Date': '2022-03-04', 'Membership Type': 'Monthly'}",2022-02-03 16:50:57,0,2022-04-16 20:50:39,0,2022-02-03 16:50:57,0,2022-02-03 16:45:02,0
1743,1af48f0a90cb99826777cbf0b7c686d9,Subscription Premium,"{'Start Date': '2022-04-11', 'Renewal Date': '2022-05-12', 'Membership Type': 'Monthly'}",2022-04-11 21:44:34,0,2022-04-16 20:50:39,0,2022-04-11 21:44:34,0,2022-04-11 21:41:52,0
1755,1af5e03863884fc2acad5b041fcde760,Subscription Premium,"{'Start Date': '2022-04-09', 'Renewal Date': '2022-05-10', 'Membership Type': 'Monthly'}",2022-04-09 20:57:14,0,2022-04-16 20:50:39,0,2022-04-09 20:57:14,0,2022-04-09 20:50:51,0
1767,1b790c4c4c115725f6d55f5491b75864,Subscription Premium,"{'Start Date': '2022-01-24', 'Renewal Date': '2022-02-25', 'Membership Type': 'Monthly'}",2022-01-25 05:56:04,0,2022-04-16 20:50:39,0,2022-01-25 05:56:04,0,2022-01-25 05:48:22,0
1804,1ba2d0ab9b0bc87b1d4e8b09fa674ff9,Subscription Premium,"{'Start Date': '2022-01-22', 'Renewal Date': '2022-02-23', 'Membership Type': 'Monthly'}",2022-01-22 22:38:22,0,2022-04-16 20:50:39,0,2022-01-22 22:38:22,0,2022-01-22 22:33:35,0
1815,1bf94f465f2280c48a00ea45201556f9,Subscription Premium,"{'Start Date': '2022-03-10', 'Renewal Date': '2022-04-11', 'Membership Type': 'Monthly'}",2022-03-11 04:44:30,1,2022-03-15 22:53:12,0,2022-03-11 04:44:30,0,2022-03-11 00:32:05,0
1824,1c0262b09b8f98cf0fcab4cec967661e,Subscription Premium,"{'Start Date': '2022-03-15', 'Renewal Date': '2022-04-16', 'Membership Type': 'Monthly'}",2022-03-15 22:42:00,0,2022-04-16 20:50:39,0,2022-03-15 22:42:00,0,2022-02-18 16:43:10,0
1847,1c12b88876e339e04cf5e599609d61f1,Subscription Premium,"{'Start Date': '2022-04-10', 'Renewal Date': '2022-05-11', 'Membership Type': 'Monthly'}",2022-04-10 18:51:38,0,2022-04-16 20:50:39,0,2022-04-10 18:51:38,0,2022-03-30 19:31:58,0
1871,1c18dbe71e395e81a4c2f1640065f2df,Subscription Premium,"{'Start Date': '2022-02-03', 'Renewal Date': '2022-03-04', 'Membership Type': 'Monthly'}",2022-02-03 17:53:54,0,2022-04-16 20:50:39,0,2022-02-03 17:53:54,0,2022-02-03 17:46:37,0
1884,1c557ecea99c8a32c952e5e5a7e8be0f,Subscription Premium,"{'Start Date': '2022-04-04', 'Renewal Date': '2022-05-05', 'Membership Type': 'Monthly'}",2022-04-04 16:26:16,0,2022-04-16 20:50:39,0,2022-04-04 16:26:16,0,2022-04-04 16:18:54,0
1909,1c64e81f9085be91bd8c11f04885bc1e,Subscription Premium,"{'Start Date': '2022-02-17', 'Renewal Date': '2022-03-18', 'Membership Type': 'Monthly'}",2022-02-17 18:57:39,1,2022-02-21 15:34:18,0,2022-02-17 18:57:39,0,2022-02-17 18:53:11,0
1923,1c735da213f3057122b9a3d389c4438b,Subscription Premium,"{'Start Date': '2022-03-18', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 15:32:16,0,2022-04-16 20:50:39,0,2022-03-18 15:32:16,0,2022-03-18 15:28:49,0
1961,1d4a7fea41a50bfa2415166997531dea,Subscription Premium,"{'Start Date': '2022-03-03', 'Renewal Date': '2022-04-04', 'Membership Type': 'Monthly'}",2022-03-04 01:10:48,1,2022-03-07 22:08:00,0,2022-03-04 01:10:48,0,2022-04-16 20:50:39,1
1977,1d986af94cdaf924384044ef2b1feda6,Subscription Premium,"{'Start Date': '2022-03-11', 'Renewal Date': '2022-04-12', 'Membership Type': 'Monthly'}",2022-03-12 02:46:30,1,2022-04-11 15:39:19,0,2022-03-12 02:46:30,0,2022-03-12 02:40:59,0
2007,1db181666b863be425838b33a244c614,Subscription Premium,"{'Start Date': '2022-02-06', 'Renewal Date': '2022-03-07', 'Membership Type': 'Monthly'}",2022-02-06 19:40:02,0,2022-04-16 20:50:39,0,2022-02-06 19:40:02,0,2022-02-03 03:32:33,0
2172,1e78610bb127137ae210339776ac17d2,Subscription Premium,"{'Start Date': '2022-01-15', 'Renewal Date': '2022-02-16', 'Membership Type': 'Monthly'}",2022-01-15 20:09:26,1,2022-02-17 10:31:20,0,2022-01-15 20:09:26,0,2022-04-16 20:50:39,1
2191,1eaeea1774a713a8964678a68480eb1e,Subscription Premium,"{'Start Date': '2022-01-28', 'Renewal Date': '2022-03-01', 'Membership Type': 'Monthly'}",2022-01-28 15:13:01,1,2022-03-01 19:02:30,0,2022-01-28 15:13:01,0,2022-01-28 04:37:52,0
2205,1ebd9a46e9d38ac548d26c24475c184a,Subscription Premium,"{'Start Date': '2022-03-21', 'Renewal Date': '2022-04-22', 'Membership Type': 'Monthly'}",2022-03-21 11:37:10,1,2022-03-21 12:01:33,0,2022-03-21 11:37:10,1,2022-03-21 10:34:30,1
2218,1f2af7dcf218e3fb01e5f29042f4859d,Subscription Premium,"{'Start Date': '2022-03-27', 'Renewal Date': '2022-04-28', 'Membership Type': 'Monthly'}",2022-03-27 22:50:04,0,2022-04-16 20:50:39,0,2022-03-27 22:50:04,0,2022-03-27 22:47:45,0
2227,1f54235428cbe673012d7901843759ff,Subscription Premium,"{'Start Date': '2022-04-09', 'Renewal Date': '2022-05-10', 'Membership Type': 'Monthly'}",2022-04-10 00:17:12,1,2022-04-10 00:30:02,0,2022-04-10 00:17:12,1,2022-04-10 00:10:59,1
2244,202e0cca3b46e34708705d9f4167924c,Subscription Premium,"{'Start Date': '2022-02-18', 'Renewal Date': '2022-03-19', 'Membership Type': 'Monthly'}",2022-02-18 22:57:39,0,2022-04-16 20:50:39,0,2022-02-18 22:57:39,0,2022-02-18 22:52:46,0
2250,20408ecea2d7cf2850397f5d00707966,Subscription Premium,"{'Start Date': '2022-02-27', 'Renewal Date': '2022-03-28', 'Membership Type': 'Monthly'}",2022-02-28 00:28:20,0,2022-04-16 20:50:39,0,2022-02-28 00:28:20,0,2022-02-28 00:18:56,0
2256,2064e05a508fa9206f18f61211306bbc,Subscription Premium,"{'Start Date': '2022-03-28', 'Renewal Date': '2022-04-29', 'Membership Type': 'Monthly'}",2022-03-28 23:26:10,0,2022-04-16 20:50:39,0,2022-03-28 23:26:10,0,2022-03-28 23:22:28,0
2267,206d187415317c5ce1136402ccba28fd,Subscription Premium,"{'Start Date': '2022-04-11', 'Renewal Date': '2022-05-12', 'Membership Type': 'Monthly'}",2022-04-12 03:57:08,0,2022-04-16 20:50:39,0,2022-04-12 03:57:08,0,2022-04-12 03:44:30,0
2280,20785e1bb94dc087f8b00dd6f8b881b1,Subscription Premium,"{'Start Date': '2022-03-18', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 21:23:35,0,2022-04-16 20:50:39,0,2022-03-18 21:23:35,0,2022-03-18 21:19:44,0
2316,208d44a7377761a342c8f0087ac97304,Subscription Premium,"{'Start Date': '2022-02-17', 'Renewal Date': '2022-03-18', 'Membership Type': 'Monthly'}",2022-02-17 20:06:22,1,2022-02-25 22:51:10,0,2022-02-17 20:06:22,0,2022-02-17 19:49:46,0
