,userid,event_name,event_attributes,event_created_date,Subscription Premium Cancel,last date Subscription Premium Cancel,last date Subscription Premium Renew,Membership YM,2 days had not passedSubscription Premium Renew
1127,107eea821b823c2218cc2f44fa7746d9,Subscription Premium Renew,"{'Start Date': '2022-03-28', 'Renewal Date': '2023-03-28', 'Membership Type': 'Yearly'}",2022-03-27 01:58:32,1,2022-04-01 08:18:29,2022-03-27 01:58:32,1,0
1152,108f272091d484c9ef8d55cafc32abf9,Subscription Premium Renew,"{'Start Date': '2022-04-12', 'Renewal Date': '2022-05-12', 'Membership Type': 'Monthly'}",2022-04-11 01:12:33,0,2022-04-16 20:50:39,2022-04-11 01:12:33,0,0
1160,10cbe7e14793a3aec1c050db6aa492aa,Subscription Premium Renew,"{'Start Date': '2022-02-02', 'Renewal Date': '2023-02-02', 'Membership Type': 'Yearly'}",2022-02-01 02:08:22,0,2022-04-16 20:50:39,2022-02-01 02:08:22,1,0
1326,12bd479c3e2e06b4338a450a23d4ec25,Subscription Premium Renew,"{'Start Date': '2022-02-12', 'Renewal Date': '2022-03-12', 'Membership Type': 'Monthly'}",2022-02-11 01:15:32,0,2022-04-16 20:50:39,2022-02-11 01:15:32,0,0
1348,12f4306c553c65f10b0234667cf9f174,Subscription Premium Renew,"{'Start Date': '2022-03-25', 'Renewal Date': '2023-03-25', 'Membership Type': 'Yearly'}",2022-03-24 01:13:29,0,2022-04-16 20:50:39,2022-03-24 01:13:29,1,0
1502,1629fe2d6702fe638d6e52345330203d,Subscription Premium Renew,"{'Start Date': '2022-02-11', 'Renewal Date': '2023-02-11', 'Membership Type': 'Yearly'}",2022-02-10 01:15:01,0,2022-04-16 20:50:39,2022-02-10 01:15:01,1,0
1509,1689b71af323dea3daeb1e1ca243a3fb,Subscription Premium Renew,"{'Start Date': '2022-03-05', 'Renewal Date': '2023-03-05', 'Membership Type': 'Yearly'}",2022-03-04 01:09:46,0,2022-04-16 20:50:39,2022-03-04 01:09:46,1,0
1532,173c9c2173fdf64c965a0fb0bb4606aa,Subscription Premium Renew,"{'Start Date': '2022-04-12', 'Renewal Date': '2022-05-12', 'Membership Type': 'Monthly'}",2022-04-11 01:09:29,0,2022-04-16 20:50:39,2022-04-11 01:09:29,0,0
1560,1870a7d51d2cd5b6e99661197c979524,Subscription Premium Renew,"{'Start Date': '2022-02-16', 'Renewal Date': '2023-02-16', 'Membership Type': 'Yearly'}",2022-02-15 01:07:21,1,2022-02-15 13:14:35,2022-02-15 01:07:21,1,1
1602,18b9953f2328fed7482dda3deb45dcf5,Subscription Premium Renew,"{'Start Date': '2022-02-23', 'Renewal Date': '2022-03-23', 'Membership Type': 'Monthly'}",2022-02-22 01:15:33,1,2022-03-06 22:20:18,2022-02-22 01:15:33,0,0
1644,19870bc160313d9e49d4895d880244e7,Subscription Premium Renew,"{'Start Date': '2022-02-14', 'Renewal Date': '2023-02-14', 'Membership Type': 'Yearly'}",2022-02-13 01:06:28,0,2022-04-16 20:50:39,2022-02-13 01:06:28,1,0
1676,1a2aff341204da8904fd42b6992b51a1,Subscription Premium Renew,"{'Start Date': '2022-03-18', 'Renewal Date': '2022-04-18', 'Membership Type': 'Monthly'}",2022-03-17 01:12:58,0,2022-04-16 20:50:39,2022-03-17 01:12:58,0,0
1738,1ae2a46b39436dc9e1f0139bcaa11a93,Subscription Premium Renew,"{'Start Date': '2022-03-04', 'Renewal Date': '2023-03-04', 'Membership Type': 'Yearly'}",2022-03-03 01:10:15,0,2022-04-16 20:50:39,2022-03-03 01:10:15,1,0
1787,1b790c4c4c115725f6d55f5491b75864,Subscription Premium Renew,"{'Start Date': '2022-02-25', 'Renewal Date': '2023-02-25', 'Membership Type': 'Yearly'}",2022-02-24 01:31:17,0,2022-04-16 20:50:39,2022-02-24 01:31:17,1,0
1797,1b928796f363e4dc05c775d6f54954c2,Subscription Premium Renew,"{'Start Date': '2022-02-09', 'Renewal Date': '2022-03-09', 'Membership Type': 'Monthly'}",2022-02-08 01:05:24,0,2022-04-16 20:50:39,2022-04-08 01:11:02,0,0
1798,1b928796f363e4dc05c775d6f54954c2,Subscription Premium Renew,"{'Start Date': '2022-03-09', 'Renewal Date': '2022-04-09', 'Membership Type': 'Monthly'}",2022-03-08 01:10:04,0,2022-04-16 20:50:39,2022-04-08 01:11:02,0,0
1799,1b928796f363e4dc05c775d6f54954c2,Subscription Premium Renew,"{'Start Date': '2022-04-09', 'Renewal Date': '2022-05-09', 'Membership Type': 'Monthly'}",2022-04-08 01:11:02,0,2022-04-16 20:50:39,2022-04-08 01:11:02,0,0
1873,1c18dbe71e395e81a4c2f1640065f2df,Subscription Premium Renew,"{'Start Date': '2022-03-04', 'Renewal Date': '2023-03-04', 'Membership Type': 'Yearly'}",2022-03-03 01:45:21,0,2022-04-16 20:50:39,2022-03-03 01:45:21,1,0
1901,1c5d42f9cf94d9eca90b3628d4d7f75d,Subscription Premium Renew,"{'Start Date': '2022-02-01', 'Renewal Date': '2022-03-01', 'Membership Type': 'Monthly'}",2022-01-31 01:14:26,0,2022-04-16 20:50:39,2022-03-31 01:18:17,0,0
1904,1c5d42f9cf94d9eca90b3628d4d7f75d,Subscription Premium Renew,"{'Start Date': '2022-03-01', 'Renewal Date': '2022-04-01', 'Membership Type': 'Monthly'}",2022-02-28 01:25:48,0,2022-04-16 20:50:39,2022-03-31 01:18:17,0,0
1905,1c5d42f9cf94d9eca90b3628d4d7f75d,Subscription Premium Renew,"{'Start Date': '2022-04-01', 'Renewal Date': '2022-05-01', 'Membership Type': 'Monthly'}",2022-03-31 01:18:17,0,2022-04-16 20:50:39,2022-03-31 01:18:17,0,0
2153,1e319056044664207b7fe8a169df084c,Subscription Premium Renew,"{'Start Date': '2022-02-04', 'Renewal Date': '2023-02-04', 'Membership Type': 'Yearly'}",2022-02-03 01:11:11,0,2022-04-16 20:50:39,2022-02-03 01:11:11,1,0
2195,1eaeea1774a713a8964678a68480eb1e,Subscription Premium Renew,"{'Start Date': '2022-03-01', 'Renewal Date': '2023-03-01', 'Membership Type': 'Yearly'}",2022-02-28 01:17:07,1,2022-03-01 19:02:30,2022-02-28 01:17:07,1,1
2246,202e0cca3b46e34708705d9f4167924c,Subscription Premium Renew,"{'Start Date': '2022-03-19', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 01:10:24,0,2022-04-16 20:50:39,2022-03-18 01:10:24,0,0
2251,20408ecea2d7cf2850397f5d00707966,Subscription Premium Renew,"{'Start Date': '2022-03-28', 'Renewal Date': '2022-04-28', 'Membership Type': 'Monthly'}",2022-03-27 01:14:38,0,2022-04-16 20:50:39,2022-03-27 01:14:38,0,0
2354,215dd76650fb1529fb07b81393d128cc,Subscription Premium Renew,"{'Start Date': '2022-03-25', 'Renewal Date': '2022-04-25', 'Membership Type': 'Monthly'}",2022-03-24 01:13:29,0,2022-04-16 20:50:39,2022-03-24 01:13:29,0,0
2459,23303acbad4ced835ad719f0e0e51d27,Subscription Premium Renew,"{'Start Date': '2022-02-22', 'Renewal Date': '2022-03-22', 'Membership Type': 'Monthly'}",2022-02-21 01:13:09,0,2022-04-16 20:50:39,2022-03-21 01:10:02,0,0
2461,23303acbad4ced835ad719f0e0e51d27,Subscription Premium Renew,"{'Start Date': '2022-03-22', 'Renewal Date': '2022-04-22', 'Membership Type': 'Monthly'}",2022-03-21 01:10:02,0,2022-04-16 20:50:39,2022-03-21 01:10:02,0,0
2477,23e09ff395402bdcd679aa42ff7733b6,Subscription Premium Renew,"{'Start Date': '2022-03-16', 'Renewal Date': '2023-03-16', 'Membership Type': 'Yearly'}",2022-03-15 01:46:05,0,2022-04-16 20:50:39,2022-03-15 01:46:05,1,0
2662,24d5e7af47c5fc49b662b7a89fa71053,Subscription Premium Renew,"{'Start Date': '2022-02-03', 'Renewal Date': '2022-03-03', 'Membership Type': 'Monthly'}",2022-02-02 01:02:35,0,2022-04-16 20:50:39,2022-04-02 01:10:01,0,0
2663,24d5e7af47c5fc49b662b7a89fa71053,Subscription Premium Renew,"{'Start Date': '2022-03-03', 'Renewal Date': '2022-04-03', 'Membership Type': 'Monthly'}",2022-03-02 01:03:46,0,2022-04-16 20:50:39,2022-04-02 01:10:01,0,0
2667,24d5e7af47c5fc49b662b7a89fa71053,Subscription Premium Renew,"{'Start Date': '2022-04-03', 'Renewal Date': '2022-05-03', 'Membership Type': 'Monthly'}",2022-04-02 01:10:01,0,2022-04-16 20:50:39,2022-04-02 01:10:01,0,0
2669,2518814bdd6f2fc0ff06f907dc877f82,Subscription Premium Renew,"{'Start Date': '2022-02-09', 'Renewal Date': '2023-02-09', 'Membership Type': 'Yearly'}",2022-02-08 01:06:29,0,2022-04-16 20:50:39,2022-02-08 01:06:29,1,0
2689,252dc11e0f9eb1ea54ce7753d543e642,Subscription Premium Renew,"{'Start Date': '2022-04-02', 'Renewal Date': '2023-04-02', 'Membership Type': 'Yearly'}",2022-04-01 01:36:36,0,2022-04-16 20:50:39,2022-04-01 01:36:36,1,0
2744,2567193ff2ad4910e8b44dd1fc853195,Subscription Premium Renew,"{'Start Date': '2022-04-06', 'Renewal Date': '2022-05-06', 'Membership Type': 'Monthly'}",2022-04-05 01:15:38,1,2022-04-13 19:10:16,2022-04-05 01:15:38,0,0
2778,2604776c53d7659ba2f63cd8012cfe3b,Subscription Premium Renew,"{'Start Date': '2022-04-07', 'Renewal Date': '2022-05-07', 'Membership Type': 'Monthly'}",2022-04-06 01:17:22,0,2022-04-16 20:50:39,2022-04-06 01:17:22,0,0
2793,2614cd9bd34099b04ec7a5b3815d9dcd,Subscription Premium Renew,"{'Start Date': '2022-02-10', 'Renewal Date': '2023-02-10', 'Membership Type': 'Yearly'}",2022-02-09 01:14:29,0,2022-04-16 20:50:39,2022-02-09 01:14:29,1,0
2808,268963cbd5f12764c76522761d49c3db,Subscription Premium Renew,"{'Start Date': '2022-02-23', 'Renewal Date': '2022-03-23', 'Membership Type': 'Monthly'}",2022-02-22 01:14:30,0,2022-04-16 20:50:39,2022-03-22 01:15:03,0,0
2809,268963cbd5f12764c76522761d49c3db,Subscription Premium Renew,"{'Start Date': '2022-03-23', 'Renewal Date': '2022-04-23', 'Membership Type': 'Monthly'}",2022-03-22 01:15:03,0,2022-04-16 20:50:39,2022-03-22 01:15:03,0,0
2898,2824218167d0043650cb936c7ae54fbe,Subscription Premium Renew,"{'Start Date': '2022-03-05', 'Renewal Date': '2023-03-05', 'Membership Type': 'Yearly'}",2022-03-04 01:54:05,0,2022-04-16 20:50:39,2022-03-04 01:54:05,1,0
3009,28368284a145474b2cc4961349bffcf3,Subscription Premium Renew,"{'Start Date': '2022-02-24', 'Renewal Date': '2023-02-24', 'Membership Type': 'Yearly'}",2022-02-23 01:03:31,0,2022-04-16 20:50:39,2022-02-23 01:03:31,1,0
3107,29081c0cdef5f0595e304d7c2ff180b2,Subscription Premium Renew,"{'Start Date': '2022-03-13', 'Renewal Date': '2022-04-13', 'Membership Type': 'Monthly'}",2022-03-12 01:12:35,0,2022-04-16 20:50:39,2022-04-12 01:14:21,0,0
3108,29081c0cdef5f0595e304d7c2ff180b2,Subscription Premium Renew,"{'Start Date': '2022-04-13', 'Renewal Date': '2022-05-13', 'Membership Type': 'Monthly'}",2022-04-12 01:14:21,0,2022-04-16 20:50:39,2022-04-12 01:14:21,0,0
3117,29c68f723b88e2d3bb1172f847b831e4,Subscription Premium Renew,"{'Start Date': '2022-02-10', 'Renewal Date': '2023-02-10', 'Membership Type': 'Yearly'}",2022-02-09 01:12:20,1,2022-02-10 03:52:54,2022-02-09 01:12:20,1,1
3157,2a2003f6836b4720906cbae8893faec9,Subscription Premium Renew,"{'Start Date': '2022-02-13', 'Renewal Date': '2022-03-13', 'Membership Type': 'Monthly'}",2022-02-12 01:01:14,0,2022-04-16 20:50:39,2022-02-12 01:01:14,0,0
3368,2cfb93b59c43b29004cf6f31ccb35866,Subscription Premium Renew,"{'Start Date': '2022-04-12', 'Renewal Date': '2022-05-12', 'Membership Type': 'Monthly'}",2022-04-11 01:15:52,0,2022-04-16 20:50:39,2022-04-11 01:15:52,0,0
3386,2f68b6851b2c2da6e70344c44c1ee797,Subscription Premium Renew,"{'Start Date': '2022-02-26', 'Renewal Date': '2023-02-26', 'Membership Type': 'Yearly'}",2022-02-25 01:13:20,0,2022-04-16 20:50:39,2022-02-25 01:13:20,1,0
3743,338f1face3221db325af58494e595031,Subscription Premium Renew,"{'Start Date': '2022-03-21', 'Renewal Date': '2023-03-21', 'Membership Type': 'Yearly'}",2022-03-20 01:15:05,0,2022-04-16 20:50:39,2022-03-20 01:15:05,1,0
3976,36d05f7d7de29d6195faf1a5fc978d03,Subscription Premium Renew,"{'Start Date': '2022-04-01', 'Renewal Date': '2023-04-01', 'Membership Type': 'Yearly'}",2022-03-31 01:23:33,0,2022-04-16 20:50:39,2022-03-31 01:23:33,1,0
4037,375f680cd1242eb7bf9263dd5ba1fe6d,Subscription Premium Renew,"{'Start Date': '2022-04-07', 'Renewal Date': '2022-05-07', 'Membership Type': 'Monthly'}",2022-04-06 01:17:22,1,2022-04-12 22:28:35,2022-04-06 01:17:22,0,0
4044,376718de739ee11bd02d64e7ac1e6b91,Subscription Premium Renew,"{'Start Date': '2022-04-14', 'Renewal Date': '2022-05-14', 'Membership Type': 'Monthly'}",2022-04-13 01:18:37,0,2022-04-16 20:50:39,2022-04-13 01:18:37,0,0
4230,3904a3b8d43d05675044b6596d965516,Subscription Premium Renew,"{'Start Date': '2022-03-20', 'Renewal Date': '2022-04-20', 'Membership Type': 'Monthly'}",2022-03-19 01:10:03,0,2022-04-16 20:50:39,2022-03-19 01:10:03,0,0
4253,3a57dc7f1e9c53802b2d7d70a8c8398e,Subscription Premium Renew,"{'Start Date': '2022-04-07', 'Renewal Date': '2022-05-07', 'Membership Type': 'Monthly'}",2022-04-06 01:17:22,0,2022-04-16 20:50:39,2022-04-06 01:17:22,0,0
4256,3a847271bca021f730165eb5d34710f3,Subscription Premium Renew,"{'Start Date': '2022-02-05', 'Renewal Date': '2022-03-05', 'Membership Type': 'Monthly'}",2022-02-04 01:15:26,0,2022-04-16 20:50:39,2022-04-04 01:14:31,0,0
4257,3a847271bca021f730165eb5d34710f3,Subscription Premium Renew,"{'Start Date': '2022-03-05', 'Renewal Date': '2022-04-05', 'Membership Type': 'Monthly'}",2022-03-04 01:08:43,0,2022-04-16 20:50:39,2022-04-04 01:14:31,0,0
4258,3a847271bca021f730165eb5d34710f3,Subscription Premium Renew,"{'Start Date': '2022-04-05', 'Renewal Date': '2022-05-05', 'Membership Type': 'Monthly'}",2022-04-04 01:14:31,0,2022-04-16 20:50:39,2022-04-04 01:14:31,0,0
4260,3ab0365f7c3971229b1c39a165b348f6,Subscription Premium Renew,"{'Start Date': '2022-02-11', 'Renewal Date': '2022-03-11', 'Membership Type': 'Monthly'}",2022-02-10 01:16:02,0,2022-04-16 20:50:39,2022-04-10 01:15:57,0,0
4261,3ab0365f7c3971229b1c39a165b348f6,Subscription Premium Renew,"{'Start Date': '2022-03-11', 'Renewal Date': '2022-04-11', 'Membership Type': 'Monthly'}",2022-03-10 01:09:00,0,2022-04-16 20:50:39,2022-04-10 01:15:57,0,0
4264,3ab0365f7c3971229b1c39a165b348f6,Subscription Premium Renew,"{'Start Date': '2022-04-11', 'Renewal Date': '2022-05-11', 'Membership Type': 'Monthly'}",2022-04-10 01:15:57,0,2022-04-16 20:50:39,2022-04-10 01:15:57,0,0
4270,3b0e78006bdafefcf05a0ee4d7f978ab,Subscription Premium Renew,"{'Start Date': '2022-03-24', 'Renewal Date': '2022-04-24', 'Membership Type': 'Monthly'}",2022-03-23 01:13:27,0,2022-04-16 20:50:39,2022-03-23 01:13:27,0,0
4309,3bfc54f0e636e24b24d40885b63e34cc,Subscription Premium Renew,"{'Start Date': '2022-03-12', 'Renewal Date': '2022-04-12', 'Membership Type': 'Monthly'}",2022-03-11 01:12:58,0,2022-04-16 20:50:39,2022-04-11 01:10:29,0,0
4310,3bfc54f0e636e24b24d40885b63e34cc,Subscription Premium Renew,"{'Start Date': '2022-04-12', 'Renewal Date': '2022-05-12', 'Membership Type': 'Monthly'}",2022-04-11 01:10:29,0,2022-04-16 20:50:39,2022-04-11 01:10:29,0,0
4346,3d49da0965533c33153bb65eb1b6d11d,Subscription Premium Renew,"{'Start Date': '2022-04-16', 'Renewal Date': '2023-04-16', 'Membership Type': 'Yearly'}",2022-04-15 02:01:29,1,2022-04-16 03:51:12,2022-04-15 02:01:29,1,1
4365,3ddccd890467c76dd9886a40dbd51800,Subscription Premium Renew,"{'Start Date': '2022-03-25', 'Renewal Date': '2022-04-25', 'Membership Type': 'Monthly'}",2022-03-24 01:13:26,0,2022-04-16 20:50:39,2022-03-24 01:13:26,0,0
4401,3ee27e464dfd51c416fb80b4e7330c76,Subscription Premium Renew,"{'Start Date': '2022-04-10', 'Renewal Date': '2022-05-10', 'Membership Type': 'Monthly'}",2022-04-09 01:15:17,0,2022-04-16 20:50:39,2022-04-09 01:15:17,0,0
4407,3ff515e258fd127963d4b549dd158dbd,Subscription Premium Renew,"{'Start Date': '2022-03-17', 'Renewal Date': '2023-03-17', 'Membership Type': 'Yearly'}",2022-03-16 01:19:46,0,2022-04-16 20:50:39,2022-03-16 01:19:46,1,0
4467,40bb760dcafe2254a0dfe804eac23a33,Subscription Premium Renew,"{'Start Date': '2022-02-22', 'Renewal Date': '2022-03-22', 'Membership Type': 'Monthly'}",2022-02-21 01:13:09,1,2022-02-21 20:35:27,2022-02-21 01:13:09,0,1
4495,40d74d801142724f930bd784d2273059,Subscription Premium Renew,"{'Start Date': '2022-03-01', 'Renewal Date': '2022-04-01', 'Membership Type': 'Monthly'}",2022-02-28 01:18:06,1,2022-03-28 12:02:25,2022-02-28 01:18:06,0,0
4598,41ef8ce6c7e3ce0869d791dc17a3d161,Subscription Premium Renew,"{'Start Date': '2022-02-10', 'Renewal Date': '2023-02-10', 'Membership Type': 'Yearly'}",2022-02-09 01:12:20,1,2022-03-23 20:42:55,2022-02-09 01:12:20,1,0
4714,41f7789dea5f3312bdf57632460561c0,Subscription Premium Renew,"{'Start Date': '2022-03-14', 'Renewal Date': '2023-03-14', 'Membership Type': 'Yearly'}",2022-03-13 01:53:26,0,2022-04-16 20:50:39,2022-03-13 01:53:26,1,0
4775,4260d7d2ac838b5e5b80a52516f78f5b,Subscription Premium Renew,"{'Start Date': '2022-03-17', 'Renewal Date': '2023-03-17', 'Membership Type': 'Yearly'}",2022-03-16 01:14:08,0,2022-04-16 20:50:39,2022-03-16 01:14:08,1,0
4859,441ffbb3d0324236d47a0f7e1ebd02f9,Subscription Premium Renew,"{'Start Date': '2022-04-15', 'Renewal Date': '2022-05-15', 'Membership Type': 'Monthly'}",2022-04-14 01:16:48,0,2022-04-16 20:50:39,2022-04-14 01:16:48,0,0
4944,4574a7082953f5413fa884d53d878986,Subscription Premium Renew,"{'Start Date': '2022-04-09', 'Renewal Date': '2022-05-09', 'Membership Type': 'Monthly'}",2022-04-08 01:16:31,0,2022-04-16 20:50:39,2022-04-08 01:16:31,0,0
4962,4625f7ed22e911f5290a3660feb4efdb,Subscription Premium Renew,"{'Start Date': '2022-02-19', 'Renewal Date': '2022-03-19', 'Membership Type': 'Monthly'}",2022-02-18 01:12:57,0,2022-04-16 20:50:39,2022-03-18 01:09:21,0,0
4972,4625f7ed22e911f5290a3660feb4efdb,Subscription Premium Renew,"{'Start Date': '2022-03-19', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 01:09:21,0,2022-04-16 20:50:39,2022-03-18 01:09:21,0,0
5017,466f747de57099409c4d851f2775613f,Subscription Premium Renew,"{'Start Date': '2022-03-19', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 01:11:24,0,2022-04-16 20:50:39,2022-03-18 01:11:24,0,0
5248,494d52061c082cec80e62b80d0042d72,Subscription Premium Renew,"{'Start Date': '2022-04-05', 'Renewal Date': '2022-05-05', 'Membership Type': 'Monthly'}",2022-04-04 01:15:32,0,2022-04-16 20:50:39,2022-04-04 01:15:32,0,0
5321,4b5f8f36415758d07940d6b9285a0b88,Subscription Premium Renew,"{'Start Date': '2022-04-03', 'Renewal Date': '2022-05-03', 'Membership Type': 'Monthly'}",2022-04-02 01:14:53,0,2022-04-16 20:50:39,2022-04-02 01:14:53,0,0
5441,4c14e25c7133054ff3ffd583ea798a4b,Subscription Premium Renew,"{'Start Date': '2022-03-16', 'Renewal Date': '2022-04-16', 'Membership Type': 'Monthly'}",2022-03-15 01:08:26,0,2022-04-16 20:50:39,2022-04-15 01:13:20,0,1
5442,4c14e25c7133054ff3ffd583ea798a4b,Subscription Premium Renew,"{'Start Date': '2022-04-16', 'Renewal Date': '2022-05-16', 'Membership Type': 'Monthly'}",2022-04-15 01:13:20,0,2022-04-16 20:50:39,2022-04-15 01:13:20,0,1
5468,4d173c7fcb0f6bacfd31227558490c0d,Subscription Premium Renew,"{'Start Date': '2022-03-26', 'Renewal Date': '2022-04-26', 'Membership Type': 'Monthly'}",2022-03-25 01:15:36,0,2022-04-16 20:50:39,2022-03-25 01:15:36,0,0
5491,4d19655d46028f8d76299fcda129e9d2,Subscription Premium Renew,"{'Start Date': '2022-03-19', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 01:11:24,0,2022-04-16 20:50:39,2022-03-18 01:11:24,0,0
5601,4fba4b79bfe1c7f4ce494d72b528e408,Subscription Premium Renew,"{'Start Date': '2022-03-04', 'Renewal Date': '2022-04-04', 'Membership Type': 'Monthly'}",2022-03-03 01:09:15,0,2022-04-16 20:50:39,2022-04-03 01:19:25,0,0
5602,4fba4b79bfe1c7f4ce494d72b528e408,Subscription Premium Renew,"{'Start Date': '2022-04-04', 'Renewal Date': '2022-05-04', 'Membership Type': 'Monthly'}",2022-04-03 01:19:25,0,2022-04-16 20:50:39,2022-04-03 01:19:25,0,0
5613,5085db2422dd457f81d595b1adbfe4a8,Subscription Premium Renew,"{'Start Date': '2022-03-06', 'Renewal Date': '2023-03-06', 'Membership Type': 'Yearly'}",2022-03-05 01:31:07,1,2022-03-10 02:20:24,2022-03-05 01:31:07,1,0
5681,511e5e8012881579f5f0ba089577cb5c,Subscription Premium Renew,"{'Start Date': '2022-02-05', 'Renewal Date': '2023-02-05', 'Membership Type': 'Yearly'}",2022-02-04 01:05:06,0,2022-04-16 20:50:39,2022-02-04 01:05:06,1,0
5762,51d15c7f78bfff49bdd2a9e43c686c57,Subscription Premium Renew,"{'Start Date': '2022-02-20', 'Renewal Date': '2023-02-20', 'Membership Type': 'Yearly'}",2022-02-19 01:12:16,1,2022-03-13 11:10:03,2022-02-19 01:12:16,1,0
5781,520c53e60a665c9c1c78671024f640a7,Subscription Premium Renew,"{'Start Date': '2022-02-21', 'Renewal Date': '2023-02-21', 'Membership Type': 'Yearly'}",2022-02-20 01:07:44,0,2022-04-16 20:50:39,2022-02-20 01:07:44,1,0
5836,54ba4ccb40da72d1174d206436d0b8c1,Subscription Premium Renew,"{'Start Date': '2022-02-13', 'Renewal Date': '2022-03-13', 'Membership Type': 'Monthly'}",2022-02-12 01:10:33,0,2022-04-16 20:50:39,2022-04-12 01:15:23,0,0
5837,54ba4ccb40da72d1174d206436d0b8c1,Subscription Premium Renew,"{'Start Date': '2022-03-13', 'Renewal Date': '2022-04-13', 'Membership Type': 'Monthly'}",2022-03-12 01:10:33,0,2022-04-16 20:50:39,2022-04-12 01:15:23,0,0
