,userid,user_state,event_name,event_attributes,event_created_date,event_platform,device_manufacture,device_model,Subscription Premium Cancel,Add Payment Method Success,Subscription Premium,Account History Transaction Details,Add Vehicle Success,Subscription Premium Renew,Sign Up Success,Order,Chat Conversation Opened,Add Vehicle Break,Chat Conversation Started,Email Confirmation Success,Add Payment Method Failed,Account Setup Skip,Calculator View,Wallet Opened,Account Setup Profile Skip,Sign Out,Transaction Refund,Calculator Used,Add Vehicle Failed,Sign Up Error,Reset Password Set,last date Subscription Premium Cancel,last date Subscription Premium Renew,Membership Ren,2 days had not passedSubscription Premium Renew,Membership Sub,last date Subscription Premium,2 days had not passedSubscription Premium,last date Order,delta monthsOrder
578,0b312cbd78e36c4c19c5ba1ecd80ff13,30,Sign Up Success,{'Method': 'Email'},2022-03-21 23:12:09,0,11,102,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-21 23:17:25,0,2022-04-16 06:52:07,0
715,0b55c6c8ce2743c5581ad07681cc812b,30,Sign Up Success,{'Method': 'Email'},2022-02-13 19:49:07,1,0,139,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-03-13 01:51:17,2,0,1,2022-02-13 19:54:02,0,2022-04-02 05:51:50,0
736,0b9ab37757f4ca5274110490af02c496,3,Sign Up Success,{'Method': 'Google'},2022-03-01 05:40:17,1,0,144,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-16 17:55:28,0,2022-04-16 20:50:39,0
759,0bd397383b7b3070af45cb75d9e44c30,3,Sign Up Success,{'Method': 'Apple'},2022-02-24 20:32:32,1,0,135,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2022-02-24 20:45:38,2022-04-16 20:50:39,0,1,1,2022-02-24 20:35:28,1,2022-02-28 18:45:29,0
772,0be441fb8acf6a9dd45d4d2444e62deb,11,Sign Up Success,{'Method': 'Email'},2022-02-17 17:04:44,1,0,142,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-17 01:12:58,1,0,1,2022-02-17 18:06:37,0,2022-03-13 12:56:09,1
794,0c7170de11fabf2a805736938841cc8c,21,Sign Up Success,{'Method': 'Email'},2022-03-11 13:44:23,1,0,140,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2022-04-13 10:22:58,2022-04-16 20:50:39,0,1,1,2022-03-11 13:51:01,0,2022-04-16 20:50:39,-1
810,0d0735f580cbe12a394d2e700104b7df,3,Sign Up Success,{'Method': 'Apple'},2022-03-10 07:02:07,1,0,133,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,2022-03-10 23:48:36,2022-04-16 20:50:39,0,1,1,2022-03-10 07:08:34,1,2022-04-16 20:50:39,-1
830,0d34c7bc13e61f2d73375a42dd5fd3fe,8,Sign Up Success,{'Method': 'Google'},2022-02-22 00:47:10,1,0,135,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-22 00:58:20,0,2022-04-16 20:50:39,0
842,0d42e37276db6718fe60c57282fffa95,3,Sign Up Success,{'Method': 'Apple'},2022-02-09 23:19:21,1,0,134,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2022-03-05 22:00:24,2022-04-16 20:50:39,0,1,1,2022-02-09 23:40:01,0,2022-02-16 15:12:54,0
862,0d51394c39dbf15021ccd09155ee6257,8,Order,{'Premium Membership': 'True'},2022-01-15 09:23:48,1,0,138,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 08:23:14,0
900,0e440655eed83610e0076ad7faa3a3f0,3,Sign Up Success,{'Method': 'Google'},2022-01-19 01:28:20,0,11,48,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-18 01:12:56,2,0,1,2022-01-19 01:38:57,0,2022-01-20 14:32:42,2
924,0e5eda1a13792e7fc5ee23edb8348c46,21,Sign Up Success,{'Method': 'Google'},2022-03-09 05:25:37,1,0,135,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-09 05:47:22,0,2022-04-08 08:22:10,0
993,0e98d69eca88d59c29dadae04730f7d5,19,Sign Up Success,{'Method': 'Email'},2022-03-19 21:28:29,1,0,144,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2022-04-11 10:07:16,2022-04-16 20:50:39,0,1,1,2022-03-19 21:32:00,0,2022-04-14 08:21:46,0
1014,0ef9ac02bd8f7d2f0ba5bc7beb2ae770,3,Add Vehicle Success,"{'Make': 'Ford', 'Model': 'Escape', 'Color': 'Gray', 'Year': '2008', 'Temporary': 'false', 'Start Date': '', 'End Date': '', 'Rental State': ''}",2022-04-01 23:36:05,0,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
1016,0f6ec4ebb8659088613c41f9d90e11fd,30,Sign Up Success,{'Method': 'Apple'},2022-04-10 15:10:07,1,0,141,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-10 15:15:52,0,2022-04-16 20:50:39,0
1035,0fc0cec5a0e21c62feb9a7c5217c36d8,8,Sign Up Success,{'Method': 'Apple'},2022-01-29 21:01:50,1,0,139,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,2022-02-28 14:43:31,2022-04-16 20:50:39,0,1,1,2022-01-29 21:07:31,0,2022-03-18 08:23:55,0
1070,0fe08d5c5027a9c435b0a98839b826ce,3,Sign Up Success,{'Method': 'Email'},2022-01-21 03:00:50,1,0,133,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-01-21 03:06:35,0,2022-03-19 10:49:22,0
1080,1071d47f43bb66419b9a7365becef941,3,Sign Up Success,{'Method': 'Google'},2022-02-24 20:07:08,0,11,91,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-24 20:12:22,0,2022-03-17 11:12:38,1
1085,10728ca2ec3dde0f3bac7e67c02b88e0,3,Add Vehicle Success,"{'Make': 'GMC', 'Model': 'Sierra 1500', 'Temporary': 'false', 'Color': 'White', 'Year': '2018'}",2022-01-17 20:01:05,1,0,134,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-03-19 10:49:20,0
1120,107eea821b823c2218cc2f44fa7746d9,30,Sign Up Success,{'Method': 'Google'},2022-02-09 05:18:31,0,8,116,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-01 08:18:29,2022-03-27 01:58:32,2,0,1,2022-02-27 21:46:31,0,2022-04-16 20:50:39,-1
1135,108f272091d484c9ef8d55cafc32abf9,8,Sign Up Success,{'Method': 'Email'},2022-03-10 16:14:02,1,0,138,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,2022-04-16 20:50:39,2022-04-11 01:12:33,1,0,1,2022-03-11 11:19:17,0,2022-04-16 20:50:39,0
1155,10cbe7e14793a3aec1c050db6aa492aa,8,Order,{'Premium Membership': 'True'},2022-01-16 20:41:50,1,0,137,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-01 02:08:22,2,0,0,2022-04-16 20:50:39,1,2022-04-16 08:23:14,0
1210,110cf2b07dea0f6ea3253cb621bd98db,3,Sign Up Success,{'Method': 'Google'},2022-02-08 20:26:50,0,11,57,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-03-29 13:08:23,2022-04-16 20:50:39,0,1,1,2022-03-02 03:27:33,0,2022-04-16 20:50:39,-1
1232,1153f4b1fafdb1470a5bec25d4aa004a,3,Sign Up Success,{'Method': 'Google'},2022-02-02 22:52:42,0,11,83,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-02 22:57:12,0,2022-02-04 14:49:34,2
1239,117e6684e0f88d6da5afb944c5a657a3,3,Sign Up Success,{'Method': 'Google'},2022-02-25 02:47:27,1,0,134,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2022-03-17 10:02:01,2022-04-16 20:50:39,0,1,1,2022-02-25 02:52:00,0,2022-04-16 20:50:39,-1
1253,118947eb7fc12d6d81c429c6762cb403,30,Add Payment Method Failed,"{'Error Code': 'ERROR-16010', 'Error Message': 'Card is debit but credit is required.', 'Payment Method': 'Google Pay', 'Tokenized Pay': 'Google Pay'}",2022-03-28 16:07:02,0,11,84,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-28 16:21:56,0,2022-04-16 20:50:39,0
1259,11b9f94b9c956fa7197e02323663a454,24,Sign Up Success,{'Method': 'Email'},2022-04-04 13:41:47,1,0,135,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,2022-04-12 16:21:36,2022-04-16 20:50:39,0,1,1,2022-04-04 14:08:04,0,2022-04-16 20:50:39,-1
1274,12746b8d8cd1a53826ca718d8e3f0e2d,30,Sign Up Success,{'Method': 'Google'},2022-01-21 12:53:12,1,0,140,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-01-21 12:59:26,0,2022-04-16 20:50:39,0
1287,12b0be2eac6e706da1a81c476447c4d7,8,Sign Up Success,{'Method': 'Email'},2022-02-24 22:28:37,1,0,147,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2022-03-19 19:12:56,2022-04-16 20:50:39,0,1,1,2022-02-24 22:50:31,0,2022-04-16 20:50:39,-1
1326,12bd479c3e2e06b4338a450a23d4ec25,3,Subscription Premium Renew,"{'Start Date': '2022-02-12', 'Renewal Date': '2022-03-12', 'Membership Type': 'Monthly'}",2022-02-11 01:15:32,1,0,135,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2022-04-16 20:50:39,2022-02-11 01:15:32,1,0,0,2022-04-16 20:50:39,1,2022-03-03 15:14:05,1
1340,12d1151fd9a265b2bf006ac1dea65573,3,Sign Up Success,{'Method': 'Apple'},2022-02-26 17:55:45,1,0,133,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-26 17:59:01,0,2022-04-16 20:50:39,0
1345,12f4306c553c65f10b0234667cf9f174,3,Subscription Premium,"{'Start Date': '2022-02-24', 'Renewal Date': '2022-03-25', 'Membership Type': 'Monthly'}",2022-02-25 00:48:18,2,13,168,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-24 01:13:29,2,0,1,2022-02-25 00:48:18,0,2022-03-04 14:31:53,1
1349,133244e670189dcb7016803b07df4089,30,Sign Up Success,{'Method': 'Facebook'},2022-02-25 03:26:10,1,0,135,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-25 03:31:20,0,2022-04-16 20:50:39,0
1392,13d8a03074dd4502c5acb82fc65e2b33,3,Sign Up Success,{'Method': 'Google'},2022-02-23 17:47:39,0,3,35,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2022-02-23 18:02:09,2022-04-16 20:50:39,0,1,1,2022-02-23 17:51:09,1,2022-04-16 20:50:39,-1
1406,146966622eb7ca05e67c132570b6c34a,30,Sign Up Success,{'Method': 'Google'},2022-02-15 17:03:47,1,0,136,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-15 17:07:50,0,2022-04-16 20:50:39,0
1413,1498cb3e57f7ae6deaefce9cffc76c9b,3,Sign Up Success,{'Method': 'Google'},2022-03-04 01:01:27,1,0,141,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-04 01:05:36,0,2022-04-08 10:57:38,0
1443,15307da1b3803640d7efd77778dc2b3d,3,Sign Up Success,{'Method': 'Apple'},2022-03-14 01:49:25,1,0,135,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-14 21:39:47,0,2022-04-16 20:50:39,0
1448,15358728efaecefc1930b7ca9877f4ee,30,Sign Up Success,{'Method': 'Email'},2022-03-24 19:50:55,1,0,135,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-24 19:56:11,0,2022-04-16 05:46:57,0
