,userid,Subscription Premium Cancel,Add Payment Method Success,Subscription Premium,Account History Transaction Details,Add Vehicle Success,Subscription Premium Renew,Sign Up Success,Account Setup Profile Skip,Calculator View,Order,Sign Out,Chat Conversation Opened,Add Vehicle Break,Chat Conversation Started,Wallet Opened,Email Confirmation Success,Add Payment Method Failed,Account Setup Skip,Calculator Used,Sign Up Error,Transaction Refund,Add Vehicle Failed,Reset Password Set
740,0997327eeccc4fcf42b3d0c90b2000f3,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
767,09a6cf80425abaf3992b51fd41dd56f7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,09aa83bbba4d22264215696aa1b169ac,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,09ac640863c5039e2ca82d8c1e68b911,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
782,09b33963e8a0c2c3e5e0c1014889b645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,09c0049d36c536d7c4e0209496653ea8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,09d6606473515a85a73ca19514c42e50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,09e4a54331b7e8ca3c0f3b9102bf943d,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,09f0b6cec04c601c9f7042443a655710,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
790,09f7c75a983daad8bb793ce97a548d1f,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,0a14026014e041186e0677afb884fe2e,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
794,0a19f1fbf9505c61f7c7a7a92624a21f,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
797,0a1f4d740d6ad3e1db15da88ec57d46b,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0a4bf9a1acba481b13330ebae980efc7,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
809,0a50cee56268e3c8875fcc59baaf3ee2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
815,0a5b386e9e4ed7d472dc2653b33f292b,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,0a789ac1b821da12d15d07e1e7b8f453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
818,0a89267291a53f3e02fbb0fb436bcd68,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
825,0aa73d02f44be28b1f21b482b1f90390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0ac4acddc721b5acd47d51158e01971c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,0ac4c049747e23d5627e64345bc1ece7,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
882,0aefa8c8e8da6823b12c663aefb814bf,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
884,0af7f97bf9253358db674384908d7bf4,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
896,0b19985baf18e1aba1325bb2cd587d26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,0b312cbd78e36c4c19c5ba1ecd80ff13,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1035,0b55c6c8ce2743c5581ad07681cc812b,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1056,0b63e4d335992efd58fc9d92d000d61a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1058,0b7dc99ac9bdf42582b39313916e2877,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1061,0b84ba66e85e072f4be0a1d3ae972e69,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,0b9ab37757f4ca5274110490af02c496,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1086,0bb522da5d9e911a3fe480dde79521f0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,0bc20cb586208506065d4a49f0e3f168,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,0bd397383b7b3070af45cb75d9e44c30,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1102,0be441fb8acf6a9dd45d4d2444e62deb,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
1124,0beac15e4912953afc19766da078476e,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,0c3445a37d3cd749b18a2a699a4172a9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,0c470d64983b34e1694c60f9c08da284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,0c7170de11fabf2a805736938841cc8c,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1144,0c7595451aacc20f212ab2f835f6735d,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,0c8777e5f92c4d99cd4b7a021361b79a,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1148,0cb3a5be68d67f0f4ce051a138752197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1150,0cc3a2e277dce1a3494bbe5f31ef819d,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1152,0ccd98cb2d6b61f7e63cb09aaa430066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,0cd0cdd72802c9c459996b33d10d1f2a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1155,0d0735f580cbe12a394d2e700104b7df,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
1175,0d2c959c42f6fe8d7bc130e03fe0af03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,0d34c7bc13e61f2d73375a42dd5fd3fe,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1188,0d353b5323e4aa895db8da7cc1403d5f,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1195,0d36cd7769f271e0393fcc078264415b,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1198,0d3e9f17767fc208f6b60b754fa89301,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,0d40ce4f617e182e735453a4a3ff3682,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1201,0d42e37276db6718fe60c57282fffa95,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
1221,0d51394c39dbf15021ccd09155ee6257,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1259,0d5553964c992124a68da3c398e97b79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,0d68a27e83ae7a2ff566b5a4125accd5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1262,0d6fa5b1ca88e3b55987f228b4eae36e,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1265,0d749f41a4125a3cffb418267aff0471,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1270,0d773854c5aa4b2f0aedc0ce495149e7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,0d89a51b9212a5e4f200d8bd6281b69b,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1274,0db93e26fb42ac46ec0f4e5f12652196,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1277,0df44e540f1200bc118f54f30393becd,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,0e09ff1db856f20f6f2492dc215af3b6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,0e2718e6fbb16f6a79e21ea8f8201459,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,0e440655eed83610e0076ad7faa3a3f0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1305,0e45d5bf89bc07814ab4bcc2fe3c82cd,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1307,0e5bf45a031b2b2c5f080a8878d3057f,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1310,0e5eda1a13792e7fc5ee23edb8348c46,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1379,0e9489480bcad1b6fcca19800e5aea0f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1381,0e98d69eca88d59c29dadae04730f7d5,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
1402,0e9a01b3566299d4860c7bc24aa4a219,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1409,0ec5ced420e6142202f5d76914414544,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,0ed6c563679472368b0e10a1769f395e,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1414,0ee061f097d154f3412ace82b4744af4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
