,time,month,quarter,day_week
100,1,3,1,5
101,1,3,1,5
102,1,3,1,5
103,1,3,1,5
104,1,3,1,5
105,1,3,1,5
106,1,3,1,5
107,1,3,1,5
108,5,3,1,5
109,5,3,1,5
110,5,3,1,5
111,5,3,1,5
112,19,4,2,4
113,19,4,2,4
114,19,4,2,4
115,19,4,2,4
116,19,4,2,4
117,10,4,2,2
118,10,4,2,2
119,23,3,1,5
120,23,3,1,5
121,23,3,1,5
122,23,3,1,5
123,18,3,1,5
124,18,3,1,5
125,18,3,1,5
126,18,3,1,5
127,18,3,1,5
128,8,3,1,4
129,8,3,1,6
130,15,3,1,0
131,15,3,1,0
132,1,2,1,4
133,14,2,1,4
134,14,2,1,4
135,14,2,1,4
136,14,2,1,4
137,15,2,1,4
138,17,3,1,3
139,17,3,1,3
140,18,3,1,3
141,18,3,1,3
142,18,4,2,0
143,11,3,1,5
144,11,3,1,5
145,11,3,1,5
146,11,3,1,5
147,16,3,1,6
148,18,3,1,1
149,18,3,1,1
150,19,3,1,1
151,19,3,1,1
152,19,3,1,1
153,12,4,2,5
154,12,4,2,5
155,12,4,2,5
156,12,4,2,5
157,12,4,2,5
158,13,4,2,5
159,13,4,2,5
160,13,4,2,5
161,13,4,2,5
162,13,4,2,5
163,13,4,2,5
164,13,4,2,5
165,13,4,2,5
166,8,1,1,1
167,8,1,1,1
168,9,1,1,1
169,9,1,1,1
170,6,1,1,4
171,7,1,1,4
172,10,1,1,4
173,10,1,1,4
174,7,1,1,6
175,6,1,1,0
176,7,1,1,0
177,6,1,1,1
178,7,1,1,1
179,7,1,1,5
180,7,1,1,5
181,6,1,1,0
182,6,1,1,0
183,7,1,1,0
184,7,1,1,0
185,7,1,1,0
186,7,1,1,0
187,7,1,1,0
188,7,1,1,0
189,7,1,1,0
190,11,2,1,1
191,6,2,1,0
192,7,2,1,0
193,7,2,1,0
194,7,2,1,0
195,7,2,1,0
196,7,2,1,0
197,10,2,1,0
198,6,2,1,1
199,7,2,1,1
200,6,2,1,4
201,6,2,1,4
202,6,2,1,4
203,6,2,1,4
204,6,2,1,4
205,6,2,1,4
206,6,2,1,4
207,7,2,1,4
208,6,2,1,6
209,6,2,1,6
210,6,2,1,0
211,7,2,1,0
212,6,2,1,1
213,7,2,1,1
214,7,2,1,1
215,1,2,1,4
216,6,2,1,4
217,20,2,1,0
218,7,2,1,2
219,7,2,1,2
220,7,2,1,2
221,7,2,1,2
222,7,2,1,2
223,6,2,1,3
224,7,2,1,3
225,6,2,1,5
226,7,2,1,5
227,7,2,1,5
228,10,2,1,5
229,6,3,1,5
230,6,3,1,6
231,6,3,1,6
232,6,3,1,6
233,6,3,1,6
234,6,3,1,6
235,6,3,1,6
236,6,3,1,6
237,6,3,1,0
238,6,3,1,0
239,7,3,1,0
240,7,3,1,0
241,7,3,1,0
242,6,3,1,1
243,6,3,1,1
244,7,3,1,3
245,7,3,1,3
246,12,3,1,5
247,12,3,1,5
248,12,3,1,5
249,7,3,1,6
250,7,3,1,6
251,12,3,1,6
252,6,3,1,0
253,6,3,1,0
254,5,3,1,1
255,5,3,1,3
256,5,3,1,3
257,5,3,1,3
258,5,3,1,3
259,5,3,1,3
260,5,3,1,5
261,6,3,1,5
262,6,3,1,5
263,6,3,1,5
264,6,3,1,5
265,6,3,1,1
266,6,3,1,1
267,6,3,1,2
268,6,3,1,2
269,7,3,1,2
270,7,3,1,2
271,6,3,1,3
272,8,3,1,4
273,8,3,1,4
274,8,3,1,4
275,15,3,1,6
276,15,3,1,6
277,5,3,1,0
278,6,3,1,1
279,6,3,1,1
280,6,3,1,1
281,6,3,1,1
282,22,4,2,4
283,6,4,2,0
284,6,4,2,0
285,6,4,2,0
286,6,4,2,0
287,5,4,2,1
288,6,4,2,1
289,6,4,2,1
290,6,4,2,1
291,6,4,2,1
292,6,4,2,2
293,5,4,2,4
294,5,4,2,4
295,5,4,2,4
296,6,4,2,5
297,6,4,2,6
298,6,4,2,6
299,6,4,2,6
300,6,4,2,0
301,6,4,2,0
302,6,4,2,0
303,8,4,2,1
304,6,4,2,2
305,6,4,2,3
306,21,4,2,3
307,21,4,2,3
308,21,4,2,3
309,21,4,2,3
310,21,4,2,3
311,22,4,2,3
312,22,4,2,3
313,2,4,2,4
314,2,4,2,4
315,2,4,2,4
316,2,4,2,4
317,2,4,2,4
318,2,4,2,4
319,13,4,2,5
320,13,4,2,5
321,18,3,1,1
322,18,3,1,1
323,18,3,1,1
324,18,3,1,1
325,18,3,1,1
326,23,3,1,1
327,23,3,1,1
328,23,3,1,1
329,23,3,1,1
330,23,3,1,1
331,11,3,1,1
332,23,3,1,3
333,19,3,1,6
334,19,3,1,6
335,19,3,1,6
336,19,3,1,6
337,19,3,1,6
338,11,4,2,5
339,18,4,2,0
340,18,4,2,0
341,18,4,2,0
342,20,4,2,0
343,20,4,2,0
344,14,4,2,2
345,17,2,1,4
346,17,2,1,4
347,17,2,1,4
348,17,2,1,4
349,17,2,1,4
350,18,2,1,4
351,18,2,1,4
352,18,2,1,4
353,18,2,1,4
354,18,2,1,4
355,19,2,1,4
356,22,2,1,4
357,22,2,1,4
358,14,2,1,0
359,14,2,1,0
360,14,3,1,2
361,14,3,1,3
362,14,3,1,5
363,14,3,1,5
364,16,3,1,5
365,0,3,1,5
366,0,3,1,5
367,0,3,1,5
368,0,3,1,5
369,0,3,1,5
370,15,3,1,5
371,18,3,1,0
372,1,2,1,4
373,6,1,1,2
374,7,1,1,2
375,7,1,1,5
376,7,1,1,5
377,1,2,1,4
378,23,3,1,6
379,0,3,1,0
380,0,3,1,0
381,0,3,1,0
382,0,3,1,0
383,17,4,2,0
384,17,4,2,0
385,21,2,1,5
386,21,2,1,5
387,21,2,1,5
388,21,2,1,5
389,15,2,1,2
390,15,2,1,2
391,12,2,1,3
392,12,2,1,3
393,12,2,1,3
394,12,2,1,3
395,14,2,1,1
396,14,2,1,1
397,14,2,1,1
398,14,2,1,1
399,14,2,1,2
400,14,2,1,2
401,17,2,1,6
402,17,2,1,6
403,10,2,1,0
404,10,2,1,0
405,10,2,1,0
406,13,2,1,3
407,9,3,1,1
408,12,3,1,1
409,12,3,1,1
410,13,3,1,1
411,13,3,1,1
412,9,3,1,2
413,9,3,1,2
414,9,3,1,2
415,8,3,1,3
416,9,3,1,3
417,9,3,1,3
418,8,3,1,5
419,8,3,1,6
420,8,3,1,6
421,8,3,1,6
422,8,3,1,6
423,8,4,2,6
424,8,4,2,6
425,8,4,2,6
426,9,4,2,6
427,8,4,2,2
428,8,4,2,2
429,9,4,2,2
430,9,4,2,2
431,8,4,2,3
432,8,4,2,4
433,8,4,2,4
434,8,4,2,4
435,8,4,2,4
436,8,4,2,4
437,8,4,2,4
438,9,4,2,5
439,9,4,2,5
440,9,4,2,5
441,8,4,2,0
442,8,4,2,0
443,8,4,2,0
444,8,4,2,0
445,8,4,2,1
446,8,4,2,2
447,9,4,2,2
448,9,4,2,3
449,9,4,2,3
450,1,3,1,0
451,1,3,1,0
452,1,3,1,0
453,1,3,1,0
454,1,3,1,0
455,0,3,1,1
456,2,3,1,2
457,15,3,1,5
458,19,3,1,5
459,18,3,1,0
460,1,4,2,2
461,3,4,2,0
462,23,3,1,0
463,23,3,1,0
464,23,3,1,0
465,23,3,1,0
466,23,3,1,0
467,23,3,1,0
468,23,3,1,0
469,23,3,1,0
470,6,3,1,2
471,6,3,1,2
472,6,3,1,2
473,7,3,1,2
474,7,3,1,2
475,5,3,1,3
476,5,3,1,3
477,5,3,1,3
478,5,3,1,3
479,6,3,1,3
480,6,3,1,3
481,6,3,1,3
482,6,3,1,3
483,6,3,1,3
484,6,3,1,3
485,6,3,1,3
486,8,3,1,4
487,8,3,1,4
488,8,3,1,4
489,8,3,1,4
490,8,3,1,4
491,14,3,1,6
492,14,3,1,6
493,15,3,1,6
494,15,3,1,6
495,15,3,1,6
496,15,3,1,6
497,15,3,1,6
498,15,3,1,6
499,15,3,1,6
500,15,3,1,6
501,15,3,1,6
502,15,3,1,6
503,11,3,1,2
504,11,3,1,2
505,11,3,1,2
506,5,3,1,3
507,5,3,1,3
508,5,3,1,3
509,5,3,1,3
510,5,3,1,3
511,6,3,1,3
512,6,3,1,3
513,6,3,1,3
514,22,4,2,4
515,22,4,2,4
516,22,4,2,4
517,22,4,2,4
518,22,4,2,4
519,22,4,2,4
520,22,4,2,4
521,22,4,2,4
522,23,4,2,4
523,23,4,2,4
524,23,4,2,4
525,23,4,2,4
526,5,4,2,5
527,5,4,2,5
528,6,4,2,5
529,6,4,2,5
530,5,4,2,0
531,5,4,2,0
532,5,4,2,0
533,5,4,2,0
534,6,4,2,0
535,6,4,2,0
536,6,4,2,0
537,6,4,2,0
538,6,4,2,0
539,6,4,2,0
540,6,4,2,0
541,6,4,2,0
542,5,4,2,2
543,6,4,2,2
544,6,4,2,2
545,6,4,2,2
546,5,4,2,3
547,5,4,2,3
548,5,4,2,3
549,5,4,2,3
550,6,4,2,3
551,6,4,2,3
552,5,4,2,4
553,5,4,2,4
554,5,4,2,4
555,5,4,2,4
556,5,4,2,4
557,5,4,2,4
558,5,4,2,4
559,5,4,2,4
560,5,4,2,4
561,5,4,2,4
562,5,4,2,5
563,5,4,2,5
564,6,4,2,5
565,6,4,2,5
566,6,4,2,5
567,6,4,2,5
568,6,4,2,5
569,6,4,2,5
570,5,4,2,6
571,5,4,2,6
572,5,4,2,6
573,6,4,2,6
574,6,4,2,6
575,6,4,2,6
576,6,4,2,6
577,6,4,2,6
578,6,4,2,6
579,6,4,2,6
580,6,4,2,6
581,6,4,2,6
582,6,4,2,2
583,7,4,2,2
584,7,4,2,2
585,7,4,2,2
586,5,4,2,3
587,5,4,2,3
588,6,4,2,3
589,6,4,2,3
590,6,4,2,3
591,6,4,2,3
592,6,4,2,3
593,6,4,2,3
594,5,4,2,4
595,6,4,2,4
596,6,4,2,4
597,5,4,2,5
598,6,4,2,5
599,19,2,1,6
600,19,2,1,6
601,19,2,1,6
602,19,2,1,6
603,19,2,1,6
604,6,2,1,2
605,6,2,1,2
606,7,2,1,0
607,7,2,1,0
608,6,3,1,1
609,6,3,1,2
610,6,3,1,2
611,6,3,1,2
612,6,3,1,2
613,6,3,1,2
614,6,3,1,2
615,6,3,1,2
616,7,3,1,2
617,1,3,1,6
618,5,4,2,5
619,13,4,2,5
620,5,3,1,1
621,17,3,1,2
622,17,3,1,2
623,17,3,1,2
624,17,3,1,2
625,17,3,1,2
626,17,3,1,2
627,17,3,1,2
628,17,3,1,2
629,16,3,1,4
630,18,3,1,0
631,19,3,1,4
632,1,4,2,0
633,1,4,2,0
634,1,4,2,0
635,1,4,2,0
636,2,4,2,0
637,2,4,2,0
638,3,4,2,0
639,1,4,2,5
640,18,4,2,5
641,18,4,2,5
642,18,4,2,5
643,20,2,1,3
644,20,2,1,3
645,20,2,1,3
646,20,2,1,3
647,20,2,1,3
648,20,2,1,3
649,20,2,1,3
650,20,2,1,3
651,20,2,1,3
652,20,2,1,3
653,1,2,1,5
654,18,2,1,0
655,18,2,1,0
656,17,2,1,3
657,17,2,1,3
658,17,2,1,3
659,18,2,1,3
660,18,2,1,3
661,18,2,1,3
662,21,2,1,3
663,6,2,1,5
664,6,2,1,5
665,6,2,1,5
666,6,2,1,5
667,23,2,1,0
668,23,2,1,0
669,7,2,1,2
670,7,2,1,2
671,7,2,1,3
672,7,2,1,3
673,12,3,1,6
674,12,3,1,6
675,12,3,1,6
676,12,3,1,6
677,1,3,1,3
678,13,3,1,4
679,13,3,1,4
680,13,3,1,4
681,13,3,1,4
682,13,3,1,4
683,13,3,1,4
684,13,3,1,4
685,13,3,1,4
686,13,3,1,4
687,16,3,1,5
688,2,4,2,2
689,2,4,2,2
690,2,4,2,2
691,10,4,2,2
692,10,4,2,2
693,10,4,2,2
694,7,3,1,3
695,7,3,1,3
696,7,3,1,3
697,7,3,1,3
698,7,3,1,3
699,7,3,1,3
700,7,3,1,3
701,7,3,1,3
702,7,3,1,3
703,7,3,1,3
704,7,3,1,3
705,7,3,1,3
706,7,3,1,3
707,7,3,1,3
708,23,3,1,3
709,23,3,1,3
710,23,3,1,3
711,23,3,1,3
712,23,3,1,3
713,23,3,1,3
714,0,2,1,1
715,0,2,1,1
716,0,2,1,1
717,0,2,1,1
718,1,2,1,1
719,1,2,1,1
720,1,2,1,1
721,15,3,1,5
722,15,3,1,5
723,15,3,1,5
724,15,3,1,5
725,15,3,1,5
726,23,2,1,2
727,23,2,1,2
728,23,2,1,2
729,23,2,1,2
730,23,2,1,2
731,23,2,1,2
732,23,2,1,2
733,15,2,1,2
734,5,3,1,3
735,21,3,1,5
736,22,3,1,5
737,22,3,1,5
738,22,3,1,5
739,22,3,1,5
740,22,3,1,5
741,22,3,1,5
742,22,3,1,5
743,22,3,1,5
744,22,3,1,5
745,22,3,1,5
746,1,1,1,2
747,1,1,1,2
748,1,1,1,2
749,1,1,1,2
750,1,1,1,2
751,1,1,1,2
752,1,1,1,2
753,1,1,1,2
754,1,1,1,2
755,1,1,1,2
756,1,1,1,2
757,1,1,1,2
758,1,1,1,2
759,1,1,1,2
760,1,1,1,2
761,1,1,1,2
762,1,1,1,2
763,1,1,1,2
764,1,1,1,2
765,1,1,1,2
766,14,1,1,3
767,14,1,1,3
768,14,1,1,3
769,1,2,1,4
770,5,3,1,2
771,5,3,1,2
772,5,3,1,2
773,5,3,1,2
774,15,3,1,2
775,12,3,1,5
776,8,3,1,0
777,8,3,1,3
778,8,3,1,3
779,16,3,1,3
780,16,3,1,3
781,8,3,1,5
782,8,3,1,5
783,8,3,1,5
784,8,3,1,5
785,8,3,1,5
786,8,3,1,6
787,8,3,1,1
788,8,3,1,1
789,8,3,1,2
790,8,3,1,3
791,8,3,1,4
792,8,3,1,4
793,8,3,1,4
794,20,3,1,5
795,20,3,1,5
796,20,3,1,5
797,20,3,1,5
798,20,3,1,5
799,8,3,1,6
800,8,3,1,1
801,13,3,1,1
802,8,3,1,3
803,8,3,1,3
804,8,3,1,3
805,8,3,1,3
806,8,3,1,3
807,8,3,1,3
808,8,3,1,3
809,8,3,1,3
810,8,4,2,4
811,8,4,2,4
812,8,4,2,4
813,8,4,2,4
814,8,4,2,4
815,8,4,2,4
816,8,4,2,4
817,8,4,2,4
818,8,4,2,5
819,8,4,2,5
820,8,4,2,5
821,8,4,2,5
822,8,4,2,5
823,8,4,2,6
824,8,4,2,6
825,8,4,2,0
826,8,4,2,2
827,8,4,2,2
828,8,4,2,2
829,8,4,2,2
830,8,4,2,2
831,8,4,2,2
832,8,4,2,2
833,8,4,2,2
834,8,4,2,4
835,8,4,2,4
836,8,4,2,4
837,8,4,2,4
838,8,4,2,4
839,21,3,1,5
840,21,3,1,5
841,21,3,1,5
842,21,3,1,5
843,21,3,1,5
844,21,3,1,5
845,21,3,1,5
846,11,3,1,2
847,11,3,1,2
848,11,3,1,2
849,12,3,1,3
850,13,3,1,3
851,14,3,1,3
852,20,3,1,5
853,20,3,1,5
854,8,4,2,0
855,8,4,2,0
856,10,4,2,0
857,10,4,2,0
858,10,4,2,0
859,8,4,2,3
860,15,4,2,6
861,15,4,2,6
862,15,4,2,6
863,15,4,2,6
864,15,4,2,6
865,15,4,2,6
866,15,4,2,6
867,16,4,2,6
868,16,4,2,6
869,16,4,2,6
870,17,4,2,6
871,17,4,2,6
872,17,4,2,6
873,17,4,2,6
874,18,4,2,6
875,18,4,2,6
876,18,4,2,6
877,23,4,2,0
878,14,4,2,4
879,21,1,1,5
880,21,1,1,5
881,21,1,1,5
882,21,1,1,5
883,21,1,1,5
884,21,1,1,5
885,21,1,1,5
886,21,1,1,5
887,21,1,1,5
888,21,1,1,5
889,21,1,1,5
890,21,1,1,5
891,19,1,1,6
892,19,1,1,6
893,19,1,1,6
894,19,1,1,6
895,19,1,1,6
896,13,2,1,0
897,13,2,1,0
898,13,2,1,0
899,13,2,1,0
900,14,2,1,0
901,14,2,1,0
902,14,2,1,0
903,14,2,1,0
904,14,2,1,0
905,8,3,1,4
906,1,3,1,6
907,1,3,1,6
908,1,3,1,6
909,1,3,1,6
910,2,3,1,6
911,13,3,1,6
912,2,3,1,1
913,11,3,1,1
914,3,1,1,4
915,3,1,1,4
916,3,1,1,4
917,3,1,1,4
918,3,1,1,4
919,3,1,1,4
920,15,1,1,5
921,15,1,1,5
922,15,2,1,2
923,10,3,1,5
924,20,2,1,3
925,20,2,1,3
926,20,2,1,3
927,20,2,1,3
928,11,3,1,3
929,5,2,1,2
930,5,2,1,2
931,21,2,1,6
932,21,2,1,6
933,21,2,1,6
934,13,3,1,0
935,13,3,1,0
936,1,3,1,6
937,2,3,1,6
938,22,3,1,1
939,3,3,1,2
940,3,3,1,2
941,2,4,2,4
942,2,4,2,4
943,8,4,2,4
944,16,3,1,3
945,16,3,1,3
946,16,3,1,3
947,16,3,1,3
948,11,3,1,4
949,11,3,1,4
950,11,3,1,4
951,11,3,1,4
952,11,3,1,4
953,16,3,1,4
954,16,3,1,4
955,14,3,1,0
956,20,3,1,0
957,20,3,1,0
958,19,3,1,1
959,19,3,1,1
960,19,4,2,6
961,1,4,2,0
962,14,4,2,0
963,14,4,2,0
964,20,1,1,6
965,20,1,1,6
966,20,1,1,6
967,20,1,1,6
968,20,1,1,6
969,2,2,1,1
970,9,2,1,3
971,11,2,1,4
972,19,2,1,6
973,9,2,1,2
974,9,2,1,2
975,9,2,1,3
976,10,2,1,3
977,10,2,1,3
978,10,2,1,0
979,10,2,1,0
980,10,2,1,0
981,10,2,1,0
982,13,2,1,3
983,13,2,1,3
984,13,2,1,3
985,13,2,1,3
986,13,2,1,3
987,13,2,1,3
988,13,2,1,3
989,13,2,1,3
990,13,2,1,3
991,16,3,1,5
992,16,3,1,5
993,12,3,1,1
994,12,3,1,1
995,12,3,1,1
996,11,3,1,3
997,11,3,1,3
998,17,3,1,4
999,8,3,1,6
1000,8,3,1,0
1001,10,3,1,2
1002,10,3,1,2
1003,10,3,1,2
1004,8,3,1,4
1005,8,3,1,2
1006,8,3,1,2
1007,8,3,1,2
1008,8,4,2,4
1009,8,4,2,4
1010,8,4,2,6
1011,8,4,2,6
1012,8,4,2,3
1013,17,4,2,6
1014,8,4,2,2
1015,8,4,2,2
1016,8,4,2,4
1017,8,4,2,4
1018,8,4,2,5
1019,20,2,1,1
1020,20,2,1,1
1021,3,3,1,2
1022,3,3,1,2
1023,1,3,1,3
1024,1,3,1,3
1025,1,3,1,3
1026,1,3,1,3
1027,1,3,1,3
1028,1,3,1,3
1029,1,3,1,3
1030,1,3,1,3
1031,21,3,1,3
1032,21,3,1,3
1033,21,3,1,3
1034,5,3,1,4
1035,13,3,1,1
1036,13,3,1,1
1037,13,3,1,1
1038,13,3,1,1
1039,13,3,1,1
1040,13,3,1,1
1041,22,2,1,2
1042,22,2,1,2
1043,22,2,1,2
1044,22,2,1,2
1045,22,2,1,2
1046,14,2,1,4
1047,14,2,1,4
1048,2,2,1,4
1049,2,2,1,4
1050,2,2,1,4
1051,2,2,1,4
1052,2,2,1,4
1053,2,2,1,4
1054,2,2,1,5
1055,2,2,1,5
1056,2,2,1,5
1057,9,3,1,3
1058,9,3,1,3
1059,9,3,1,3
1060,9,3,1,3
1061,10,3,1,3
1062,16,3,1,0
1063,16,3,1,0
1064,16,3,1,0
1065,16,3,1,0
1066,16,3,1,0
1067,16,3,1,0
1068,13,4,2,0
1069,13,4,2,0
1070,13,4,2,0
1071,13,4,2,0
1072,13,4,2,0
1073,14,4,2,0
1074,14,4,2,0
1075,14,4,2,0
1076,14,4,2,0
1077,16,4,2,1
1078,16,4,2,1
1079,16,4,2,1
1080,16,4,2,1
1081,16,4,2,1
1082,15,4,2,4
1083,12,1,1,4
1084,12,1,1,4
1085,12,1,1,4
1086,12,1,1,4
1087,0,1,1,5
1088,0,1,1,5
1089,0,1,1,5
1090,17,2,1,2
1091,17,2,1,2
1092,17,2,1,2
1093,18,2,1,2
1094,18,2,1,2
1095,18,2,1,2
1096,22,2,1,3
1097,22,2,1,3
1098,22,2,1,3
1099,22,2,1,3
1100,22,2,1,3
1101,15,2,1,4
1102,16,2,1,5
1103,16,2,1,6
1104,16,2,1,6
1105,20,3,1,2
1106,20,3,1,2
1107,2,3,1,3
1108,13,3,1,5
1109,0,3,1,2
1110,0,3,1,2
1111,18,3,1,5
1112,18,3,1,5
1113,19,3,1,5
1114,15,4,2,0
1115,19,4,2,2
1116,19,4,2,2
1117,20,4,2,2
1118,20,4,2,2
1119,20,4,2,2
1120,20,4,2,2
1121,20,4,2,2
1122,23,4,2,2
1123,23,4,2,2
1124,19,4,2,5
1125,19,4,2,5
1126,19,4,2,5
1127,19,4,2,5
1128,21,4,2,0
1129,21,4,2,0
1130,21,4,2,0
1131,21,4,2,0
1132,21,4,2,0
1133,21,4,2,0
1134,21,4,2,2
1135,1,2,1,4
1136,15,2,1,4
1137,15,2,1,4
1138,1,2,1,3
1139,1,2,1,3
1140,1,2,1,3
1141,1,2,1,3
1142,1,2,1,3
1143,18,2,1,0
1144,18,2,1,0
1145,18,2,1,0
1146,15,3,1,3
1147,2,3,1,4
1148,14,3,1,4
1149,17,2,1,5
1150,17,2,1,5
1151,17,2,1,5
1152,17,2,1,5
1153,18,2,1,5
1154,0,2,1,4
1155,15,3,1,3
1156,14,3,1,4
1157,1,3,1,3
1158,3,2,1,4
1159,3,2,1,4
1160,3,2,1,4
1161,3,2,1,4
1162,3,2,1,4
1163,3,2,1,4
1164,3,2,1,4
1165,3,2,1,4
1166,3,2,1,4
1167,3,2,1,4
1168,3,2,1,4
1169,3,2,1,4
1170,3,2,1,4
1171,4,2,1,4
1172,4,2,1,4
1173,4,2,1,4
1174,4,2,1,4
1175,5,2,1,4
1176,11,2,1,4
1177,21,2,1,4
1178,2,2,1,5
1179,14,2,1,5
1180,20,2,1,5
1181,3,2,1,0
1182,3,2,1,0
1183,20,3,1,1
1184,4,3,1,2
1185,4,3,1,2
1186,12,3,1,1
1187,0,3,1,3
1188,0,3,1,4
1189,0,3,1,4
1190,0,3,1,4
1191,16,4,2,4
1192,16,4,2,4
1193,17,4,2,4
1194,17,4,2,4
1195,19,4,2,4
1196,19,4,2,4
1197,19,4,2,4
1198,20,4,2,4
1199,20,4,2,4
1200,23,4,2,4
1201,17,2,1,2
1202,17,2,1,2
1203,17,2,1,2
1204,17,2,1,2
1205,17,2,1,2
1206,17,2,1,2
1207,17,2,1,2
1208,17,2,1,2
1209,17,2,1,2
1210,18,2,1,2
1211,18,2,1,2
1212,18,2,1,2
1213,18,2,1,2
1214,18,2,1,2
1215,17,2,1,1
1216,17,2,1,1
1217,17,2,1,1
1218,17,2,1,1
1219,17,2,1,1
1220,17,2,1,1
1221,23,4,2,4
1222,1,3,1,4
1223,1,3,1,4
1224,1,3,1,4
1225,1,3,1,4
1226,1,3,1,4
1227,2,3,1,5
1228,2,3,1,5
1229,2,3,1,5
1230,2,3,1,5
1231,14,3,1,5
1232,14,3,1,5
1233,14,3,1,5
1234,14,3,1,5
1235,2,3,1,0
1236,14,3,1,1
1237,4,3,1,3
1238,10,3,1,4
1239,10,3,1,4
1240,22,3,1,0
1241,22,3,1,0
1242,22,3,1,0
1243,11,3,1,3
1244,11,3,1,3
1245,11,3,1,3
1246,14,4,2,2
1247,14,4,2,2
1248,10,4,2,4
1249,10,4,2,4
1250,10,4,2,4
1251,10,4,2,4
1252,1,3,1,0
1253,21,3,1,0
1254,21,3,1,0
1255,21,3,1,0
1256,21,3,1,0
1257,19,3,1,3
1258,19,3,1,3
1259,19,3,1,3
1260,19,3,1,3
1261,19,3,1,3
1262,14,3,1,6
1263,15,3,1,6
1264,15,3,1,6
1265,15,3,1,6
1266,15,3,1,6
1267,15,3,1,6
1268,5,3,1,0
1269,5,3,1,0
1270,6,3,1,1
1271,11,3,1,2
1272,11,3,1,2
1273,11,3,1,2
1274,11,3,1,2
1275,11,3,1,2
1276,11,3,1,2
1277,5,4,2,5
1278,5,4,2,5
1279,5,4,2,5
1280,5,4,2,0
1281,6,4,2,0
1282,6,4,2,0
1283,6,4,2,0
1284,6,4,2,0
1285,6,4,2,0
1286,6,4,2,0
1287,5,4,2,2
1288,5,4,2,2
1289,5,4,2,2
1290,5,4,2,2
1291,5,4,2,2
1292,5,4,2,2
1293,5,4,2,2
1294,5,4,2,2
1295,6,4,2,2
1296,5,4,2,3
1297,5,4,2,4
1298,5,4,2,4
1299,5,4,2,4
1300,5,4,2,4
1301,6,4,2,6
1302,6,4,2,0
1303,6,4,2,0
1304,8,4,2,1
1305,8,4,2,1
1306,6,4,2,3
1307,5,4,2,5
1308,5,4,2,5
1309,5,4,2,5
1310,19,1,1,5
1311,1,2,1,3
1312,18,2,1,4
1313,19,2,1,4
1314,19,2,1,4
1315,19,2,1,4
1316,19,2,1,4
1317,19,2,1,4
1318,1,3,1,4
1319,3,3,1,5
1320,3,3,1,5
1321,3,3,1,5
1322,3,3,1,5
1323,10,3,1,3
1324,10,3,1,3
1325,10,3,1,2
1326,10,3,1,3
1327,10,3,1,4
1328,20,3,1,5
1329,10,3,1,0
1330,4,3,1,2
1331,10,4,2,4
1332,10,4,2,4
1333,10,4,2,5
1334,10,4,2,0
1335,10,4,2,0
1336,0,4,2,2
1337,0,4,2,2
1338,10,4,2,3
1339,10,4,2,5
1340,10,4,2,5
1341,1,4,2,0
1342,0,3,1,3
1343,0,3,1,3
1344,0,3,1,3
1345,0,3,1,3
1346,0,3,1,3
1347,4,3,1,3
1348,21,3,1,5
1349,1,4,2,5
1350,2,4,2,5
1351,2,4,2,5
1352,2,4,2,5
1353,2,4,2,5
1354,2,4,2,5
1355,2,4,2,5
1356,2,4,2,5
1357,2,4,2,5
1358,2,4,2,5
1359,2,4,2,5
1360,2,4,2,5
